number,created_at,closed_at
3841,2019-01-02T11:50:46Z,2019-01-30T23:02:28Z
3842,2019-01-02T14:43:46Z,2019-01-02T19:35:54Z
3843,2019-01-02T22:33:49Z,2019-01-02T22:52:52Z
3844,2019-01-03T18:51:32Z,2019-01-03T21:57:33Z
3845,2019-01-04T08:40:31Z,2019-01-04T16:02:24Z
3847,2019-01-05T08:46:42Z,2019-04-17T22:48:56Z
3849,2019-01-08T22:05:35Z,2019-01-09T20:59:00Z
3850,2019-01-09T01:57:24Z,2019-01-09T01:59:40Z
3852,2019-01-12T18:54:19Z,2019-01-12T18:56:01Z
3853,2019-01-14T10:57:33Z,2019-01-14T11:08:20Z
3854,2019-01-14T20:28:47Z,2019-01-15T05:46:27Z
3855,2019-01-15T00:32:07Z,2019-01-30T23:02:40Z
3856,2019-01-15T20:37:46Z,2019-01-15T21:39:04Z
3857,2019-01-16T08:16:28Z,2019-01-17T02:13:14Z
3858,2019-01-16T20:40:21Z,2019-04-17T22:48:08Z
3861,2019-01-22T14:47:29Z,2019-01-22T14:49:57Z
3862,2019-01-22T18:22:57Z,2019-01-22T18:48:16Z
3863,2019-01-23T18:18:16Z,2019-01-24T10:46:01Z
3865,2019-01-25T18:21:17Z,2019-01-25T23:00:44Z
3866,2019-01-27T06:56:46Z,2019-01-29T02:09:09Z
3867,2019-01-30T22:43:12Z,2019-04-16T23:48:54Z
3869,2019-01-31T11:55:54Z,2019-01-31T17:44:08Z
3871,2019-02-03T22:04:26Z,2019-02-05T14:36:00Z
3872,2019-02-04T12:43:58Z,2019-12-21T18:55:02Z
3874,2019-02-05T20:22:20Z,2019-02-05T20:34:58Z
3876,2019-02-08T06:43:17Z,2019-02-12T21:49:09Z
3877,2019-02-08T16:24:45Z,2019-02-08T16:38:10Z
3879,2019-02-12T11:37:01Z,2019-02-14T06:43:40Z
3880,2019-02-12T13:57:42Z,2019-04-17T22:26:56Z
3881,2019-02-13T05:06:07Z,2019-04-17T22:47:09Z
3882,2019-02-13T05:51:13Z,2019-04-17T22:46:42Z
3883,2019-02-13T11:34:59Z,2019-02-13T22:48:10Z
3884,2019-02-15T13:16:11Z,2020-02-19T19:10:38Z
3885,2019-02-17T13:40:20Z,2019-02-17T17:04:07Z
