number,title,created_at,closed_at
21,"Статические файлы, медленная работа",2016-04-12T04:34:13Z,2016-04-13T16:16:18Z
22,You-kube sample doesn't refresh list of videos after uploading,2016-05-26T14:14:17Z,2018-09-02T22:02:52Z
23,Provide standard CORS interceptor,2016-06-08T12:43:26Z,2016-06-27T20:12:29Z
26,Convert custom status pages functions into a feature,2016-07-19T16:43:01Z,2016-12-06T15:15:00Z
27,Replace templating engine with simple feature using Transform,2016-07-27T12:14:57Z,2016-10-31T08:39:15Z
28,Simple API for serving custom status/error pages from file system,2016-07-27T12:19:37Z,2016-12-06T15:11:42Z
29,Make Hello World sample really just say hello,2016-07-27T12:41:25Z,2016-07-27T21:53:50Z
30,Clean various `parameters` API,2016-07-27T12:45:20Z,2016-08-24T15:57:07Z
31,Clean `response` API,2016-07-27T12:47:23Z,2017-02-16T07:39:07Z
32,Consider using Transform engine to convert request content,2016-07-27T13:25:38Z,2017-06-05T15:57:09Z
33,Create sample using Guice as DI,2016-07-27T13:26:27Z,2018-01-29T10:46:21Z
34,Setup JMH benchmarking module for performance testing,2016-07-27T13:37:01Z,2016-10-31T09:50:01Z
35,CSRF protection,2016-07-29T13:06:09Z,2016-08-24T15:56:51Z
37,Basic authentication does not work on first attempt,2016-08-22T12:55:15Z,2017-01-23T07:17:14Z
38,"Missing Accept header should match any header(""Accept"", ""…"") selector",2016-08-23T16:40:20Z,2017-04-20T14:46:39Z
40,gradle is unable to resolve dependencies,2016-09-10T09:12:30Z,2016-09-10T20:42:14Z
44,W: Could not expand ZIP '..../kotlinx-support-jdk8-0.3.pom',2016-09-22T18:22:26Z,2016-11-08T18:58:53Z
45,Is this an officially-supported http framework? ,2016-10-11T05:06:06Z,2016-10-31T08:25:30Z
46,Exception from FileReadChannel.,2016-10-11T13:00:42Z,2016-11-08T18:58:41Z
47,A clean clone doesn't build with defaults due to Exposed dependency,2016-10-20T22:14:16Z,2016-10-20T22:42:27Z
48,Exception in Route.handle is handled silently,2016-11-02T09:50:23Z,2017-03-17T20:21:12Z
49,`TODO()` should map to 501 rather than 500,2016-11-03T16:36:30Z,2016-12-06T15:29:12Z
50,CallLogger fails to intercept exceptions,2016-11-06T19:24:12Z,2017-03-17T20:14:03Z
52,java.lang.IllegalStateException: ReadListener already set,2016-11-22T13:39:34Z,2016-12-01T13:20:41Z
