number,title,created_at,closed_at
8910,"[2.7.0-RC8] ""The method render() is ambiguous"" error in Eclipse",2019-01-02T22:04:48Z,2019-01-03T16:58:52Z
8911,[2.7.0-RC8] Bad example for JavaJavascriptRouter,2019-01-02T22:24:20Z,2019-01-07T13:46:28Z
8921,Using custom ObjectMapper doesn't work when deployed?,2019-01-08T11:17:12Z,2019-04-25T04:53:45Z
8926,play.http.session.maxAge inconsistencies (and causing server startup failure) in application.conf,2019-01-09T18:58:17Z,2019-01-09T20:28:52Z
8934,Document changes in FileInfo and FilePart in Migration27.md,2019-01-11T11:22:50Z,2019-01-15T08:21:04Z
8935,2.7-RC9: Play-Modules are started before DB-Mirgation Script was executed,2019-01-11T14:09:11Z,2019-01-15T14:41:25Z
8937,Version of com.google.guava:guava used in 2.6.x contains known security vulnerability,2019-01-11T22:45:08Z,2019-04-23T22:09:48Z
8940,WebSocket did not take type parameter in document,2019-01-13T18:08:54Z,2019-10-10T16:01:24Z
8945,Set MiMa to check on 2.7.0 on branch 2.7.x,2019-01-14T21:20:35Z,2019-01-31T07:14:28Z
8946,No snapshots are generated anymore,2019-01-15T10:52:29Z,2019-01-17T22:30:57Z
8947,Play 2.7.0-RC9 fails to evolve database,2019-01-15T13:04:39Z,2019-01-18T21:16:05Z
8948,Update Tutorials page once 2.7.0 is out,2019-01-15T14:12:16Z,2019-01-18T16:08:40Z
8952,"No migration for using F.Promise in Actions, in Play 2.7?",2019-01-16T01:11:55Z,2019-01-16T08:35:32Z
8953,i18n matching inversely,2019-01-16T08:01:59Z,2019-09-04T18:27:27Z
8954,Option to not delete file when moving/copying it out of Play temp folder,2019-01-16T12:35:47Z,2019-01-18T10:40:17Z
8959,Drop support for sbt 0.13,2019-01-17T11:54:12Z,2019-12-20T07:50:38Z
8968,Would the project consider dropping unnecessary external library dependencies? ,2019-01-18T14:42:02Z,2019-01-18T16:29:58Z
8981,Remove support for `play.crypto.secret` & `application.secret` in 2.7.x,2019-01-22T21:19:07Z,2019-02-24T02:43:46Z
8985,Possible security issue: request A get result from request B,2019-01-23T16:17:19Z,2019-02-19T21:56:55Z
8987,Highlight new orElse method in Play 2.7.x,2019-01-24T15:48:17Z,2019-01-29T20:53:12Z
8992,Reformat and unnest,2019-01-26T20:08:45Z,2019-02-16T08:19:25Z
9000,Check crossScalaVersions sync programmatically,2019-01-29T21:09:24Z,2019-02-25T14:09:10Z
9006,max-age configurable for language-cookie,2019-01-31T19:52:41Z,2019-06-07T07:21:48Z
9022,java.nio.charset.MalformedInputException: Input length = 1,2019-02-13T07:32:09Z,2019-03-15T15:59:25Z
9024,Upgrade to Twirl 1.4,2019-02-14T10:14:11Z,2019-03-11T20:46:54Z
9028,Initialization code that relies on evolutions fails with exceptions,2019-02-15T12:50:48Z,2019-02-15T13:35:34Z
9030,[Bug] It's impossible to set Netty native socket transport options,2019-02-15T14:08:03Z,2019-02-19T13:46:05Z
9032,Broken link found at playframework.com,2019-02-15T15:50:12Z,2019-02-18T00:58:58Z
9042,play.api.Logging cannot be found.,2019-02-19T02:17:33Z,2019-02-19T15:17:11Z
9055,Binding both HTTP and HTTPS ports when running in dev,2019-02-21T18:49:41Z,2019-03-30T08:16:39Z
9059,Akka HTTP server should also set the Server request attribute,2019-02-22T08:51:31Z,2019-05-10T21:18:55Z
9066,Make it possible to configure where the temporary files are created,2019-02-28T21:02:59Z,2019-07-24T05:23:31Z
9076,"""Latest stable release"" documentation links broken",2019-03-07T23:24:22Z,2019-03-11T10:18:22Z
9079,Java Play 2.7 processes stuck at 100% CPU on Linux server with no traffic,2019-03-09T22:08:47Z,2019-03-18T19:57:15Z
9086,Increase the version of HikariCP 3.x on Play2.6 as well as Play2.7,2019-03-13T03:23:13Z,2019-09-25T22:19:00Z
9087,[2.7.0 java] logger.info doesn't work,2019-03-13T10:23:47Z,2019-03-13T10:32:12Z
9088,bindableOption[A].bind has return type Some[A],2019-03-13T12:03:23Z,2019-03-13T17:40:25Z
9091,Cookie headers dropped if multiple present,2019-03-13T17:07:16Z,2019-03-13T17:52:49Z
9101,Trailing dot ('.') in Host headers confuses CORSFilter,2019-03-18T13:42:47Z,2019-03-21T22:11:53Z
9106,ActorSystemProvider should accept a List of Setup,2019-03-20T15:49:28Z,2019-06-05T19:20:22Z
9107,Web Commands no longer working on 2.7.0 DevMode,2019-03-20T20:43:07Z,2019-03-26T20:13:48Z
9108,RFE: execute arbitrary code between reloads,2019-03-21T10:41:57Z,2019-04-01T20:24:14Z
9176,Inconsistency between code and comment of method Result#as(String),2019-04-05T11:58:25Z,2019-04-10T12:52:36Z
9178,Exception while downloading content,2019-04-08T21:13:01Z,2019-09-19T21:05:20Z
9179,Not able to enable https SSL,2019-04-09T05:08:07Z,2019-04-23T21:56:50Z
9187,Documentation claims CSRF check only required for request with Cookie,2019-04-13T19:45:47Z,2020-03-29T02:37:08Z
9190,RequestHeader.path being decoded and inconsistent with RequestHeader.uri when using AkkaHttpServer,2019-04-16T21:52:51Z,2019-09-19T21:13:46Z
9205,Deprecate environment variable workarounds,2019-04-18T22:53:04Z,2019-04-18T23:07:04Z
9208,STRICT TRANSPORT SECURITY not sent for X-Forwarded-Proto,2019-04-20T06:08:36Z,2019-09-25T17:37:23Z
9209,Can not send websocket ping frame periodically while setting akka.http.server.websocket.periodic-keep-alive-max-idle to 5 seconds,2019-04-20T06:59:49Z,2019-04-23T21:54:35Z
9214,Cookies.config references global state.,2019-04-23T20:49:51Z,2019-05-01T06:36:59Z
9216,Improve Akka HTTP server shutdown / use Graceful Shutdown ,2019-04-24T11:57:30Z,2019-05-07T16:31:21Z
9225,"Deprecate getQueryString, it should return Optional",2019-04-26T20:24:15Z,2019-05-10T23:07:06Z
9235,[Feature Suggestion] Support for X-HTTP-Method-Override header,2019-05-03T16:22:12Z,2019-05-07T21:29:37Z
9243,[Feature Suggestion] Request Content-Encoding support,2019-05-06T18:17:51Z,2019-07-20T22:55:53Z
9245,"mock&the global application anyway, set play.allowGlobalApplication = true,",2019-05-07T07:47:28Z,2019-05-07T14:29:34Z
9249,"Trouble overriding limits, getting EntityStreamException: Request too large",2019-05-08T17:33:05Z,2019-05-09T09:35:38Z
9260,Cross-build to Scala 2.13.0,2019-05-09T18:48:17Z,2019-06-19T09:20:51Z
9261,Support Java 11,2019-05-09T19:00:53Z,2019-05-28T12:09:22Z
9275,Review impact of ActorSystem#terminate calling Coordinated Shutdown,2019-05-10T12:41:54Z,2019-06-25T16:50:00Z
9276,Switch to the default dispatcher in Akka 2.6,2019-05-10T12:47:21Z,2019-07-20T18:04:22Z
9277,Dependency Injection for ClusterSharding Typed when using Akka Persistence Typed,2019-05-10T12:51:08Z,2019-09-27T13:30:24Z
9298,running multiple tasks on different ports broken,2019-05-13T12:13:13Z,2019-05-17T22:07:33Z
9321,Play Framework (play-scala-seed) does not compile with sbt 1.3.0-RC1,2019-05-17T09:11:33Z,2019-06-05T05:43:29Z
9325,How can I download the 1.5 version zip file?,2019-05-17T14:35:36Z,2019-05-17T14:45:04Z
9336,Play on 2.13.0-RC2,2019-05-21T16:25:58Z,2019-05-27T13:12:53Z
9341,[TEST]: New issue to validate triage bot,2019-05-23T16:45:11Z,2019-05-23T16:45:39Z
9345,Add ActorRef[T] JSON serialization for persistence command replyTo,2019-05-24T15:22:58Z,2020-01-21T20:11:59Z
9346,Handle journal / shared event tags,2019-05-24T15:24:32Z,2020-01-21T20:11:30Z
9356,Unable to change default 'max-uri-length' within play 2.6,2019-05-29T18:24:04Z,2019-06-05T20:35:14Z
9358,actor ActorSystemImpl 400 Bad Request within play 2.7,2019-05-30T06:51:51Z,2019-05-31T05:03:26Z
9361,Checkbox no longer supports HTML labels in Play 2.7,2019-05-30T15:10:35Z,2019-06-17T17:35:15Z
9366,Run documentation tests in Java 11,2019-06-03T13:37:12Z,2019-06-17T13:18:50Z
9367,Run documentation tests using Scala 2.13,2019-06-03T13:39:14Z,2019-06-28T07:22:31Z
9368,Play does not run sbt 1.3.0-M5,2019-06-04T21:27:00Z,2019-06-05T00:39:10Z
9372,Play 2.6.24,2019-06-05T04:35:44Z,2019-06-05T04:36:09Z
9382,Cannot load grand-child routing PlayScala@2.7.2,2019-06-08T10:22:44Z,2019-06-20T00:22:37Z
9383,Switch to Akka 2.6's Jackson serializer,2019-06-11T09:15:34Z,2019-07-25T18:22:52Z
9391,"java.lang.NumberFormatException: For input string: ""0-RC2""",2019-06-13T17:15:03Z,2019-06-13T17:19:07Z
9394,Support querystring parameters for Java's redirect method,2019-06-14T21:30:02Z,2019-07-11T07:11:59Z
9402,Support GraalVM and native-image compilation,2019-06-18T14:24:00Z,2019-06-23T09:54:04Z
9403,UnEncoded key on key-value serialisation,2019-06-18T16:42:54Z,2019-08-01T07:17:33Z
9406,Plugin version bumps,2019-06-19T14:57:14Z,2019-06-21T15:11:41Z
9409,play-omnidocs 2.7.3 not released,2019-06-20T09:25:47Z,2019-06-20T10:29:47Z
9410,How to Use CSP Filter in Play 2.7,2019-06-20T09:42:58Z,2019-06-20T11:13:50Z
9414,Review MiMa settings for 2.8.0,2019-06-21T14:13:19Z,2019-06-26T14:36:48Z
9418,Unable to Ctrl-C out of 'run' with sbt 1.3.0-RC2,2019-06-22T13:20:31Z,2019-07-15T05:58:22Z
9438,Break play - omnidoc circular dependency,2019-07-03T08:23:09Z,2019-08-22T12:41:21Z
9465,Wrong Content-Length causes 504 errors,2019-07-12T13:40:01Z,2019-07-20T22:04:27Z
9487,Play not working well with the docker plugin in sbt-native-packager ,2019-07-20T11:08:55Z,2019-07-29T15:55:31Z
9491,Test Failure: expected IOException is wrapped in Akka Stream exception,2019-07-22T10:27:06Z,2019-08-05T14:49:54Z
9495,Form input constraint truncates dates to the minute,2019-07-23T07:43:15Z,2019-08-27T10:11:57Z
9504,sbt 1.3.0-RCx manual testing,2019-07-25T17:29:35Z,2019-09-18T12:43:27Z
9505,sbt bgRun crashes with NoSuchMethodException: play.core.server.DevServerStart.main,2019-07-26T14:25:25Z,2019-07-29T15:50:48Z
9515,java.lang.OutOfMemoryError: Java heap space,2019-07-29T12:28:46Z,2019-07-29T15:07:20Z
9522,Why is there no Chinese document?,2019-07-31T06:27:01Z,2019-07-31T23:36:08Z
9532,helper.form action to route controller doesn't pick play.http.context or prefix in action while using compile time DI injection ,2019-08-05T08:51:16Z,2019-08-06T10:28:07Z
9536,Assets not loaded into classloader during testPlayBinary,2019-08-05T21:04:38Z,2019-08-06T17:15:04Z
9543,play 2.7.3 java dependency injection error,2019-08-06T20:22:26Z,2019-08-06T20:25:42Z
9545,CompletionStage（redirect）,2019-08-08T08:57:09Z,2019-08-21T16:51:13Z
9546,no-package-declaration-in-routes-file on Java 11,2019-08-08T17:13:03Z,2019-08-09T13:38:18Z
9573,AssetsController should not clear flash,2019-08-15T19:32:13Z,2019-08-22T15:51:49Z
9595,Broken link in sbtSettings docs: More-About-Settings.html,2019-08-27T07:26:30Z,2019-08-27T16:56:34Z
9602,Inconsistent parsing of json payloads leading to different behaviours,2019-08-29T09:49:16Z,2019-11-13T13:54:17Z
9606,[Feature Suggestion] Gzip filter should avoid compressing small response bodies,2019-08-29T19:06:57Z,2019-09-30T15:37:08Z
9612,Support SameSite = None in 2.6.x and/or 2.7.x,2019-09-01T23:16:51Z,2019-09-02T10:47:40Z
9619,ClassCastException: slf4j's SubstituteLogger cannot be cast to logback,2019-09-09T09:45:41Z,2019-09-09T14:40:20Z
9626,examples in website not found,2019-09-12T00:42:17Z,2019-09-20T22:50:42Z
9635,Unable to Materialise a Request Body in a Action Filter,2019-09-13T14:12:15Z,2019-09-13T17:12:05Z
9640,Play not installing via sbt run,2019-09-16T02:07:30Z,2019-10-02T19:05:18Z
9646,Make Java Headers and RequestBuilder immutable,2019-09-17T08:47:55Z,2019-10-11T23:27:03Z
9652,Non SBT dependency fetching for java version,2019-09-18T12:08:30Z,2019-09-25T22:06:01Z
9657,Action body restarts every 75s,2019-09-20T11:50:51Z,2019-10-11T16:45:15Z
9658,Routes compilation fails for projects with more than one PathBindable,2019-09-20T14:03:49Z,2019-11-05T15:15:21Z
9666,How to Run Lagom on Https ,2019-09-23T16:08:01Z,2019-09-23T19:11:36Z
9667,Fix documentation on AssetsBuilder,2019-09-24T08:03:42Z,2019-10-14T13:31:40Z
9703,Use sbt-dynver,2019-10-02T12:01:06Z,2020-04-01T11:10:56Z
9713,[master/2.7.x] CRON builds fail on scripted tests,2019-10-08T12:28:17Z,2019-10-10T15:32:06Z
9719,Travis doesn't run some tasks for all scala/sbt versions,2019-10-10T15:07:17Z,2019-10-11T14:59:30Z
9724,`scripted` failure on `sbt 0.13` in CRON builds,2019-10-11T09:52:31Z,2019-11-05T12:11:26Z
9737,Play doesn't wait for request to be terminated before stop (TERM signal),2019-10-15T11:22:12Z,2020-01-29T07:49:27Z
9755, `sbt new playframework/play-scala-seed.g8` directory structure does not follow docs,2019-10-22T03:30:51Z,2019-10-22T21:41:05Z
