number,title,created_at,closed_at
1,image for readme,2016-01-20T17:51:35Z,2016-01-20T17:51:38Z
3,Setup `init.d` for starting/stopping service,2016-01-22T17:43:52Z,2016-02-09T01:07:35Z
4,Spectre testing,2016-01-22T17:44:32Z,2016-01-26T13:24:02Z
5,Session class,2016-01-22T17:45:34Z,2016-01-26T13:23:50Z
6,Use node HTTP-parser,2016-01-26T03:55:09Z,2016-02-04T05:32:12Z
7,Stencil/Mustache parsing,2016-01-27T01:11:21Z,2016-02-09T01:07:21Z
10,Unable to build,2016-01-28T19:27:06Z,2016-01-29T04:24:07Z
11,"compile fail, ubuntu 14.04",2016-01-29T09:15:58Z,2016-02-01T16:14:07Z
12,Asynchronous,2016-01-29T17:10:21Z,2016-02-01T23:06:52Z
18,Error while deploying to Heroku,2016-02-05T20:43:43Z,2016-02-05T23:03:04Z
20,Xcode project missing files that have been added to .gitignore,2016-02-07T19:51:22Z,2016-02-09T01:07:05Z
21,create documentation wiki,2016-02-12T15:18:24Z,2016-02-15T15:16:15Z
22,post request body,2016-02-13T01:00:06Z,2016-02-15T14:47:06Z
23,Unable to properly infer complex Json,2016-02-13T05:49:32Z,2016-02-22T06:34:30Z
24,Needs a License,2016-02-13T23:37:13Z,2016-02-14T06:09:19Z
27,Vapor installer,2016-02-14T07:12:37Z,2016-02-15T22:56:10Z
28,JSON encoded requests,2016-02-15T14:46:45Z,2016-02-22T06:34:21Z
32,Decode URL-encoded parameters in request.parameters,2016-02-18T18:49:23Z,2016-02-18T22:22:45Z
37,JSONSerializer not working with Array<String: Any>.,2016-02-20T08:17:09Z,2016-02-20T19:08:32Z
41,Logger wip,2016-02-21T05:27:54Z,2016-02-23T03:29:37Z
42,Cryptography best practices,2016-02-21T06:54:57Z,2016-02-22T06:34:03Z
43,Benchmark require,2016-02-21T07:40:25Z,2016-02-22T06:32:09Z
44,License violation,2016-02-21T08:52:48Z,2016-02-21T16:10:19Z
51,Improper JSON serialization leads to user-controlled JSON contents,2016-02-22T06:15:41Z,2016-02-22T06:21:26Z
59,Controller Refactor Proposal,2016-02-23T06:50:56Z,2016-02-25T05:29:19Z
70,Query data is being handled improperly ,2016-02-25T07:30:29Z,2016-03-01T15:59:04Z
84,"Compile failure on OSX 10.10.5 , Xcode 7.1",2016-02-27T09:42:12Z,2016-02-28T08:46:04Z
85,DDoS risk,2016-02-27T13:31:43Z,2016-02-28T08:43:33Z
87,"Unable to build on OS X 10.11, Xcode 7.3 Beta",2016-02-27T21:02:13Z,2016-02-28T08:39:34Z
93,Problem with swiftpm,2016-03-01T06:49:40Z,2016-03-01T19:22:32Z
96,"""no such module 'Jay'"" when running `swift build`",2016-03-01T19:38:58Z,2016-03-02T09:18:30Z
105,On stage @ Try!Swift Conf,2016-03-04T01:58:17Z,2016-03-07T16:35:56Z
106,Server Side Requirements,2016-03-04T11:07:21Z,2016-03-07T16:35:24Z
108,iOS app with a backend using Vapor,2016-03-05T22:26:22Z,2016-03-18T20:33:58Z
109,Hello world not working,2016-03-06T19:30:36Z,2016-03-07T18:19:34Z
110,Response status No Content,2016-03-06T20:07:07Z,2016-03-07T17:10:27Z
111,Json cannot be initialized using Int,2016-03-06T20:39:42Z,2016-03-20T17:40:54Z
112,Injecting dependencies into ResourceControllers,2016-03-06T21:06:29Z,2016-03-22T13:51:01Z
113,Curassow driver for Vapor,2016-03-07T10:18:16Z,2016-03-18T20:33:50Z
115,Can't deploy to heroku -> Vapor was not compiled for testing,2016-03-07T14:34:46Z,2016-03-07T19:01:15Z
121,Question: is it (in the near future) possible to run this on the Raspberry Pi,2016-03-09T20:55:17Z,2016-05-05T20:18:12Z
126,Default response text,2016-03-11T13:12:04Z,2016-03-29T00:07:00Z
127,Use of `self`,2016-03-11T13:36:41Z,2016-03-29T00:03:16Z
128,Placement of `inout`,2016-03-11T13:40:58Z,2016-03-29T00:03:10Z
129,"Is there a plan to make vapor a fast cgi server ,like web.py?",2016-03-12T05:36:07Z,2016-03-15T15:02:46Z
144,Routers accepting variadic handlers,2016-03-22T08:23:53Z,2016-03-29T00:07:23Z
157,Dangerous `rm -rf` in CLI,2016-03-26T05:31:44Z,2016-03-28T23:00:29Z
158,Build Errors when building with Vapor 0.3.5,2016-03-27T18:44:23Z,2016-03-29T00:03:02Z
166,Erro on link libStrand.so,2016-04-01T15:11:16Z,2016-04-06T04:47:48Z
168,Slack channel not working,2016-04-05T13:32:18Z,2016-04-06T04:47:04Z
169,main.swift:2:8: error: no such module 'VaporZewoMustache',2016-04-05T13:51:21Z,2016-04-05T16:30:18Z
170,Error compiler depedency,2016-04-05T22:21:41Z,2016-04-06T04:46:43Z
173,main.swift:2:8: error: no such module 'VaporZewoMustache',2016-04-08T14:53:51Z,2016-04-09T02:45:34Z
177,<unknown>:0: error: unable to load standard library for target 'x86_64-apple-macosx10.9',2016-04-11T22:03:37Z,2016-05-05T20:17:43Z
178,swift 3.0 package error,2016-04-12T02:05:29Z,2016-04-13T04:20:31Z
181,🛠 Roadmap / To Do,2016-04-15T00:29:44Z,2016-05-16T19:19:41Z
183,CircleCI in progress,2016-04-16T22:10:29Z,2016-04-25T21:23:32Z
184,Unable to build project,2016-04-18T17:40:53Z,2016-04-19T09:19:37Z
185,Build fails for swift-DEVELOPMENT-SNAPSHOT-2016-04-12-a ,2016-04-19T05:37:18Z,2016-04-22T02:07:08Z
188,Vapor.Json is not initializable with [Vapor.Json],2016-04-20T13:12:23Z,2016-04-26T11:01:11Z
190,Error receiving request: InvalidRequestLine,2016-04-20T21:43:29Z,2016-04-21T17:50:44Z
192,"""Response had no 'Content-Type' header"" warning when sending CSS",2016-04-22T12:53:21Z,2016-05-06T01:52:17Z
193,Session token not generating when one already exists,2016-04-22T14:18:07Z,2016-05-06T19:06:40Z
194,The JSON API doesn't accept itself,2016-04-22T14:20:05Z,2016-05-11T03:38:07Z
195,`Hash` isn't publically initializable,2016-04-22T14:21:11Z,2016-07-04T15:51:21Z
198,WebSocket middelwares can't work,2016-04-25T09:05:24Z,2016-04-26T10:58:54Z
203,Suggestion for addition features to roadmap,2016-05-02T09:37:12Z,2016-05-05T20:15:42Z
204,Fix project-wide spacing rules,2016-05-02T15:07:30Z,2016-05-05T23:54:24Z
212,Hot reload on code change,2016-05-06T12:19:45Z,2016-05-06T19:07:17Z
213,Update Version,2016-05-06T17:07:29Z,2016-05-06T23:34:10Z
214,`vapor new` should automatically initialize an empty Git repository,2016-05-06T20:58:56Z,2016-05-07T17:57:39Z
215,`vapor new` should create a barebone project without boilerplate code,2016-05-06T21:32:28Z,2016-05-07T17:24:49Z
216,improve git functionality for `vapor new`,2016-05-06T21:44:41Z,2016-07-04T15:50:11Z
217,add `vapor self-update` command,2016-05-07T02:36:55Z,2016-05-07T19:31:51Z
219,Suggestion for roadmap,2016-05-07T02:59:50Z,2016-05-11T00:40:08Z
220,get rid of extraneous `?` with `Node`,2016-05-07T08:03:45Z,2016-05-07T22:08:13Z
224,update to CK 0.7,2016-05-08T19:59:51Z,2016-05-08T20:54:23Z
225,Example not building on Linux,2016-05-09T16:30:19Z,2016-05-10T00:10:10Z
226,`app.any` needs label,2016-05-09T18:20:26Z,2016-05-10T00:43:52Z
227,complex json not compiling,2016-05-09T18:21:16Z,2016-05-10T00:22:36Z
228,vapor zewo mustache 05-03,2016-05-09T18:22:07Z,2016-05-12T01:04:46Z
230,validation failing emails via POST,2016-05-10T03:45:23Z,2016-05-11T01:36:18Z
231,build git bug,2016-05-10T22:14:36Z,2016-05-11T00:05:28Z
234,empty POST closing connection,2016-05-11T00:38:32Z,2016-05-11T02:23:21Z
240,Better cli build error message,2016-05-11T03:29:14Z,2016-05-11T03:39:48Z
242,pull request approval process,2016-05-11T19:51:24Z,2016-05-16T19:24:38Z
243,Nice work!,2016-05-11T20:21:09Z,2016-05-17T19:18:20Z
244,refactor `Valid` rules initialization,2016-05-12T00:43:00Z,2016-05-12T23:26:56Z
245,Some useful alogrithm testing in Vapor suite,2016-05-12T15:54:47Z,2016-05-27T21:35:22Z
246,rename `And` and `Or` validators to `Both` and `Either`,2016-05-12T23:20:20Z,2016-05-25T19:45:45Z
247,allow validators to transform the input,2016-05-13T00:07:33Z,2016-05-27T21:23:27Z
