Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,PostId,TagId,Id,TagName,Count,ExcerptPostId,WikiPostId
"21830","1","26398","","2008-08-22 05:22:39","","38","15795","<p>From what information I could find, they both solve the same problems - more esoteric operations like array containment and intersection (&amp;&amp;, @>, &lt;@, etc). However I would be interested in advice about when to use one or the other (or neither possibly).<br>
The <a href=""http://www.postgresql.org/docs/current/static/textsearch-indexes.html"" rel=""noreferrer"">PostgreSQL documentation</a> has some information about this:</p>

<ul>
<li>GIN index lookups are about three times faster than GiST</li>
<li>GIN indexes take about three times longer to build than GiST</li>
<li>GIN indexes are about ten times slower to update than GiST</li>
<li>GIN indexes are two-to-three times larger than GiST</li>
</ul>

<p>However I would be particularly interested to know if there is a performance impact when the memory to index size ration starts getting small (ie. the index size becomes much bigger than the available memory)? I've been told on the #postgresql IRC channel that GIN needs to keep all the index in memory, otherwise it won't be effective, because, unlike B-Tree, it doesn't know which part to read in from disk for a particular query? The question would be: is this true (because I've also been told the opposite of this)? Does GiST have the same restrictions? Are there other restrictions I should be aware of while using one of these indexing algorithms?</p>
","1265","Cd-MaN","168868","jsight","2014-03-29 03:31:52","2017-06-07 04:49:44","PostgreSQL: GIN or GiST indexes?","<postgresql><indexing><gin><gist-index>","1","1","10","","","21830","2253","2253","gin","315","5802757","5802756"
"1333635","1","1334005","","2009-08-26 10:06:26","","2","1822","<p>i know gin is client side of guice . so in order to use gin. it must be used together with guice?  i wonder, can it be used with spring?</p>
","108869","","157672","","2009-09-24 10:40:46","2009-09-30 00:51:31","google gin? use with spring?","<spring><gwt><guice><gin>","3","0","","","","1333635","2253","2253","gin","315","5802757","5802756"
"1420652","1","","","2009-09-14 10:01:50","","1","827","<p>I'm currently evaluating many FullText indexing solutions, and I'm playing with native postgres FT.</p>

<p>I'm trying to index my data using GIN indices. But there's a limitation in the field size, I encounter some errors saying ""huge tuple"" while inserting data</p>

<p>As far as I understand, it's directly related to the field size.
But this limitation is not written in any documentation I found, so does someone know this limitation, and if ther'es some way to change it ?</p>

<p>thanks</p>

<p>PS : I found this definition in postgresql source code :
<code>
    ((BLCKSZ - SizeOfPageHeaderData - \ MAXALIGN(sizeof(GinPageOpaqueData))) / 3 - sizeof(ItemIdData))
</code>
and will try to use it if nobody has some quick answers.</p>
","","user155118","","","","2009-09-14 13:59:33","PostgreSQL : Gin max fields size","<postgresql><full-text-indexing><gin>","1","0","","","","1420652","2253","2253","gin","315","5802757","5802756"
"1558855","1","1560693","","2009-10-13 08:17:38","","2","1163","<p>In google Guice, I can create an injector based on multiple module with the function <code>createInjector</code>.</p>

<p>Because I use <code>GWT.create</code> to instanciate the injector in GoogleGin, is it possible to create a Ginjector based on multiple <code>AbstractGinModule</code>.</p>

<p>If we can't, how do you organize your code to avoid having all your binding in the same Module ?</p>
","188900","","188900","","2009-10-13 09:34:18","2009-10-16 10:57:21","Instanciate an injector with multiple AbstractGinModule","<gwt><guice><gin>","1","0","1","","","1558855","2253","2253","gin","315","5802757","5802756"
"1682835","1","2011693","","2009-11-05 19:03:56","","2","1894","<p>I've been building a GWT 1.7 + GAE application using the eclipse plugin.
The system constants are loaded into a MyConstants.properties file that is loaded by the singleton MyConstants class extending the ...gwt.i18n.client.Constants class.</p>

<p>I would like for MyConstants to load one of several files containing settings like</p>

<ul>
<li>MyConstants-local.properties</li>
<li>MyConstants-alpha.properties</li>
<li>MyConstants-beta.properties </li>
<li>MyConstants-prod.properties </li>
</ul>

<p>I've found several references to Guice's Enum Stage but this does not seem to be supported by gin. Besides, it only handles dev/prod and I definitely need a local/beta/prod solution.</p>

<p>Is there a way to do this using a command line arg or some other instance defined runtime parameter that will work when loaded onto GAE?</p>
","177567","","110707","","2009-11-18 15:35:34","2011-11-17 14:45:45","How to vary Constants based on deployment instance","<java><google-app-engine><gwt><guice><gin>","4","2","2","","","1682835","2253","2253","gin","315","5802757","5802756"
"2184467","1","2186783","","2010-02-02 13:54:16","","8","5845","<p>I'm trying to link all this technologies, but there are many isolated examples and I do not have enough experience to link them together</p>

<p>so my questions:
Whether there is a similar example?
Is it possible to use UIBinder with Gin?
Any recommendations to implement it?</p>
","170649","","164602","","2010-04-24 16:39:10","2010-05-19 13:42:37","GWT+UIBinder+Gin+Guice+JDO+GAE example","<google-app-engine><gwt><jdo><uibinder><gin>","4","0","7","","","2184467","2253","2253","gin","315","5802757","5802756"
"2431904","1","2432286","","2010-03-12 10:13:51","","0","480","<p>I've been trying to use <a href=""http://code.google.com/docreader/#p=google-guice&amp;s=google-guice&amp;t=Grapher"" rel=""nofollow noreferrer"">Grapher</a> on my GIN project. But trying to create an Injector to give the InjectorGrapher has not been working.</p>

<p>Right in the first line of my code:</p>

<pre><code>    Injector injector = Guice.createInjector( new GinModuleAdapter( new MyGinModule() ) );
</code></pre>

<p>it crashes with</p>

<pre><code> Exception in thread ""main"" java.lang.AssertionError: should never be actually called
at com.google.gwt.inject.rebind.adapter.GwtDotCreateProvider.get(GwtDotCreateProvider.java:43)
at com.google.inject.InternalFactoryToProviderAdapter.get(InternalFactoryToProviderAdapter.java:48)
at com.google.inject.ProviderToInternalFactoryAdapter$1.call(ProviderToInternalFactoryAdapter.java:45)
at com.google.inject.InjectorImpl.callInContext(InjectorImpl.java:811)
at com.google.inject.ProviderToInternalFactoryAdapter.get(ProviderToInternalFactoryAdapter.java:42)
at com.google.inject.Scopes$1$1.get(Scopes.java:54)
at com.google.inject.InternalFactoryToProviderAdapter.get(InternalFactoryToProviderAdapter.java:48)
at com.google.inject.SingleParameterInjector.inject(SingleParameterInjector.java:42)
at com.google.inject.SingleParameterInjector.getAll(SingleParameterInjector.java:66)
at com.google.inject.ConstructorInjector.construct(ConstructorInjector.java:84)
at com.google.inject.ConstructorBindingImpl$Factory.get(ConstructorBindingImpl.java:111)
at com.google.inject.BoundProviderFactory.get(BoundProviderFactory.java:56)
at com.google.inject.ProviderToInternalFactoryAdapter$1.call(ProviderToInternalFactoryAdapter.java:45)
at com.google.inject.InjectorImpl.callInContext(InjectorImpl.java:811)
at com.google.inject.ProviderToInternalFactoryAdapter.get(ProviderToInternalFactoryAdapter.java:42)
at com.google.inject.Scopes$1$1.get(Scopes.java:54)
at com.google.inject.InternalFactoryToProviderAdapter.get(InternalFactoryToProviderAdapter.java:48)
at com.google.inject.InjectorBuilder$1.call(InjectorBuilder.java:200)
at com.google.inject.InjectorBuilder$1.call(InjectorBuilder.java:194)
at com.google.inject.InjectorImpl.callInContext(InjectorImpl.java:804)
at com.google.inject.InjectorBuilder.loadEagerSingletons(InjectorBuilder.java:194)
at com.google.inject.InjectorBuilder.injectDynamically(InjectorBuilder.java:176)
at com.google.inject.InjectorBuilder.build(InjectorBuilder.java:113)
at com.google.inject.Guice.createInjector(Guice.java:92)
at com.google.inject.Guice.createInjector(Guice.java:69)
at com.google.inject.Guice.createInjector(Guice.java:59)
at com.me.myself.Grapher.main(Grapher.java:20)
</code></pre>

<p>What gives?</p>
","6583","","6583","","2010-03-12 10:19:36","2010-03-12 11:16:31","Using Grapher on GIN application with GinModuleAdapter","<java><guice><gin>","1","1","","","","2431904","2253","2253","gin","315","5802757","5802756"
"2660022","1","","","2010-04-17 20:52:30","","2","3771","<p>I'm trying to use GIN (Guice for GWT) within eclipse. The tutorial says to add a line to my module xml file: </p>

<pre><code>   &lt;inherits name=""com.google.gwt.inject.Inject""/&gt;
</code></pre>

<p>However, when I do this Eclipse reports an error ""com.google.gwt.inject.Inject cannot be resolved to a type""</p>

<p>I've added gin.jar, aopalliance.jar and guice.jar as referenced libraries. What else do I need to do?</p>
","176886","","","","","2012-07-22 11:43:09","Gin / Gwt / Eclipse: com.google.gwt.inject.Inject cannot be resolved to a type","<eclipse><gwt><dependency-injection><guice><gin>","3","5","","","","2660022","2253","2253","gin","315","5802757","5802756"
"2769526","1","2770220","","2010-05-04 23:00:23","","3","1265","<p>I'd like to use gwt-dispatch Command Patter implementation in my app. I'm using also mvp4g. How can I make <code>DefaultDispatchAsync</code> available to inject <em>into</em> my presenters using GIN or make it globally available, so I can access it <em>from</em> my presenters? </p>
","327079","","","","","2010-05-05 02:30:52","Using GIN and mvp4g","<gwt><gin><gwt-dispatch><gwt-mvp>","1","0","","","","2769526","2253","2253","gin","315","5802757","5802756"
"2776726","1","","","2010-05-05 20:58:32","","0","1417","<p>I have some questions regarding gwt-dispatch and guice. I'm using Guice 2.0, gwt-dispatch 1.1.0 snapshot, mvp4g 1.1.0 and GIN 1.0</p>

<p>First of all, I have defined simple action, result and handler:</p>

<p>ListContactsAction.java</p>

<pre><code>public class ListContactsAction implements Action&lt;ListContactsResult&gt;{

    public ListContactsAction() {
    }

}
</code></pre>

<p>ListContactsResult.java</p>

<pre><code>public class ListContactsResult implements Result {

    private List&lt;Contact&gt; contactList;

    public ListContactsResult() {
    }

    public ListContactsResult(List&lt;Contact&gt; contactList) {
        this.contactList = contactList;
    }

    public List&lt;Contact&gt; getContactList() {
        return contactList;
    }
}
</code></pre>

<p>ListContactsHandler.java</p>

<pre><code>public class ListContactsHandler implements ActionHandler&lt;ListContactsAction, ListContactsResult&gt;{

    @Inject
    private SqlSessionFactory factory;

    public Class&lt;ListContactsAction&gt; getActionType() {
        return ListContactsAction.class;
    }

    public ListContactsResult execute(ListContactsAction a, ExecutionContext ec) throws DispatchException {
        // some code using SqlSessionFactory and returning ListContactResult
        // with list of contacts
    }

    public void rollback(ListContactsAction a, ListContactsResult r, ExecutionContext ec) throws DispatchException {
        /* get action - no rollback needed */
    }

}
</code></pre>

<p>In previous version of my app, which was using rpc service instead of command pattern, I had a method which was providing <code>SqlSessionFactory</code> for injections, something like this:</p>

<pre><code>@Provides
    public SqlSessionFactory getSqlSessionFactory(){
        // some code here
    }
</code></pre>

<p>I read on gwt-dispatch getting started that I have to provide binding between my action and it's handler, which should look something like that:</p>

<pre><code>public class ContactModule extends ActionHandlerModule{
    @Override
    protected void configureHandlers() {
        bindHandler(ListContactsAction.class, ListContactsHandler.class);
    }
}
</code></pre>

<p>But I have problem wiring it all with Guice, because this example from gwt-dispatch site:</p>

<pre><code>public class DispatchServletModule extends ServletModule {
    @Override
    public void configureServlets() {
        serve( ""/path/to/dispatch"" ).with( DispatchServiceServlet.class );
    }
}
</code></pre>

<p>doesn't work, since there is no <code>DispatchServiceServlet</code> in the package.</p>

<p>My questions are:</p>

<ul>
<li>How should I write DispatchServletModule and how to make it going (with what I should serve path)</li>
<li>what should I put in the web.xml file of my app to be able to correctly execute actions from my presenter, which has GIN injected <code>DispatcherAsync</code> implementation</li>
<li>Where should I put my <code>SqlSessionFactory</code> providing method (in which module) to be able to inject SqlSessionFactory where I need it</li>
<li>How I instantiate the injector so then I can use it in other action handlers properly</li>
</ul>

<p>I think that is all and I made myself clear. If something isn't clear enough, I'll try to be more specific.</p>
","327079","","19756","","2010-05-19 09:04:55","2011-01-19 18:21:30","Connecting gwt-dispatch with guice and mvp4g","<gwt><inversion-of-control><gin><gwt-dispatch><gwt-mvp>","3","1","","","","2776726","2253","2253","gin","315","5802757","5802756"
