Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,PostId,TagId,Id,TagName,Count,ExcerptPostId,WikiPostId
"56706485","1","56707530","","2019-06-21 15:34:20","","1","376","<p>I am using <a href=""https://api.ktor.io/1.2.2/"" rel=""nofollow noreferrer"">Ktor 1.2.2</a> and I have an InputStream object that I want to use as the body for an HttpClient request I make down the line. Up until Ktor 0.95 there was this <a href=""https://api.ktor.io/0.9.5/io.ktor.webjars/-input-stream-content/index.html"" rel=""nofollow noreferrer"">InputStreamContent</a> object that seemed to do just that but it has been removed from Ktor at version 1.0.0 (couldn't figure out why unfortunately). </p>

<p>I can make it work using a ByteArrayContent (see code below) but I'd rather find a solution that does not require loading the entire InputStream into memory...</p>

<pre><code>ByteArrayContent(input.readAllBytes())
</code></pre>

<p>This code is a simple test case that emulate what I'm trying to achieve:</p>

<pre><code>val file = File(""c:\\tmp\\foo.pdf"")
val inputStream = file.inputStream()
val client = HttpClient(CIO)
client.call(url) {
      method = HttpMethod.Post
      body = inputStream // TODO: Make this work :(
    }
// [... other code that uses the response below]
</code></pre>

<p>Let me know if I missed any relevant information,</p>

<p>Thanks!</p>
","7490030","","2318632","","2020-02-23 14:32:00","2020-02-23 14:32:00","In Ktor, how can I stream an InputStream into a HttpClient Request's body?","<kotlin><ktor><ktor-client>","2","0","","","","56706485","141923","141923","ktor-client","6","",""
"59470764","1","","","2019-12-24 15:22:05","","1","80","<p>I need to make a GET request using a Ktor client. The URL I'm using is passed to me as a string from a source I have no control over. The URL string contains commas that are encoded by the Ktor client to <code>%2C</code> which is breaking the backend logic. Is there a way to prevent Ktor from encoding the URL?</p>

<p>Example to clarify:</p>

<pre><code>client.get {
    url(url)
    accept(ContentType.Application.Json)
    method = HttpMethod.Get
}
</code></pre>

<p>In the following code, the value of <code>url</code> is <code>https://my.domain/someData,someMoreData</code> but the outgoing request URL is <code>https://my.domain/someData%2CsomeMoreData</code>.</p>
","2318632","","2318632","","2019-12-24 15:29:26","2019-12-25 11:12:48","Encode URL in Ktor Client","<kotlin><urlencode><ktor><ktor-client>","1","0","","","","59470764","141923","141923","ktor-client","6","",""
"60399933","1","60495656","","2020-02-25 17:11:13","","0","35","<p>I am trying out <code>Ktor</code> by converting some existing project that's currently using <code>Retrofit</code>.</p>

<p>Although I could easily convert the request into something like:</p>

<pre><code>client.get {
    url(""$BASE_URL/something/somepage/another"")
}
</code></pre>

<p>It seems very tedious to always add the <code>$BASE_URL</code> to all paths every time. In retrofit, we could simply do something like:</p>

<pre><code>Retrofit.Builder()
    .baseUrl(BASE_URL)
    .create(SomeServiceClass::class.java)
</code></pre>

<p>I've triede using <code>defaultRequest</code> and setting the <code>BASE_URL</code> there but apparently you could only set the <code>url.host</code> and not the whole <code>basePath</code>.</p>

<p>Is there a way to do the same thing in <code>Ktor</code>? or if there is none, what's the best practice to handle this?</p>
","9291997","","","","","2020-03-02 19:49:48","How to set a basePath in Ktor similar to Retrofit's `Retrofit.Builder().baseUrl(baseUrl)?","<android><kotlin><ktor><kotlin-multiplatform><ktor-client>","1","0","","","","60399933","141923","141923","ktor-client","6","",""
"60523776","1","","","2020-03-04 10:19:04","","0","9","<p>Using the ktor client to make an HTTP request, I want to change the HTTP Protocol Version to 1.0.</p>

<p>The documentation on the different Engines, e.g. Apache or CIO, mentions that they support 1.X, but not how to change the version.</p>

<p>I have the following code, which initialized the client, but I could not find configuration options for setting the protocol version for client or the request.</p>

<pre><code>val client = HttpClient(Apache){
        engine {
            ...
        }
    }
val result = client.post&lt;HttpResponse&gt;(""http://127.0.0.1:8080/handler"") {
   body = MultiPartContent.build {
       add(""user"", ""myuser"")
       add(""password"", ""password"")
       add(""file"", byteArrayOf(1, 2, 3, 4), filename = ""binary.bin"")
   }
}
</code></pre>

<p>The HTTPProtocolVersion class exists, but I could only find one reference to it for getting the version of a request, but not for setting it.
<a href=""https://api.ktor.io/0.9.5/io.ktor.http/-http-protocol-version/index.html"" rel=""nofollow noreferrer"">https://api.ktor.io/0.9.5/io.ktor.http/-http-protocol-version/index.html</a></p>
","1375822","","","","","2020-03-04 10:19:04","Setting HttpProtocolVersion for Ktor Http Client Request","<kotlin><ktor><ktor-client>","0","0","","","","60523776","141923","141923","ktor-client","6","",""
"60652474","1","","","2020-03-12 10:46:25","","1","13","<p>I have a ktor server that exposes an API to my android client. It has its own database, some signup structure, and all the standard stuff. But now, a part of my database is getting filled with data from an 3rd party database, which I can only reach via it's own API. That means my server is a client on itself. I know this might not be the best structure, but that's how it is right now. So I need an HTTPClient for my server I think. For that I need to use an engine, but should I use the same engine as the one that I use for my server? How do I set it up in my DI, Koin, so that my services have access to the HTTPClient (factory or single)
Right now I set up the server part like this:</p>

<pre class=""lang-kotlin prettyprint-override""><code>fun main(args: Array&lt;String&gt;): Unit = io.ktor.server.netty.EngineMain.main(args)

@Suppress(""unused"") // Referenced in application.conf
@kotlin.jvm.JvmOverloads
fun Application.module(testing: Boolean = false) {
    install(ContentNegotiation) {
        serialization()
    }
    install(Koin) {
        modules(
            KoinModules.exposedModule,
            KoinModules.repositoryModule
        )
    }

    val userRepository by inject&lt;UserRepository&gt;()

    routing {
    ...
</code></pre>

<p>application.conf</p>

<pre><code>ktor {
    deployment {
        port = 8080
        port = ${?PORT}
    }
    application {
        modules = [ com.kvw.letsgo.server.ApplicationKt.module ]
    }
}
</code></pre>

<p>Should I change my main(), lose application.conf and code it by hand so that I use the same engine?</p>
","6849045","","","","","2020-03-12 10:46:25","How to connect to external api on ktor server","<ktor><koin><ktor-client>","0","0","1","","","60652474","141923","141923","ktor-client","6","",""
"61362485","1","61434078","","2020-04-22 10:11:37","","1","50","<p>I am trying to use <strong>ktor</strong> <a href=""https://ktor.io/clients/http-client/quick-start/client.html"" rel=""nofollow noreferrer"">client</a> in Kotlin/MPP (Multiplatform) project and on JVM target feature <a href=""https://ktor.io/clients/http-client/features/auth.html#basic"" rel=""nofollow noreferrer"">basic authentication</a> does not seem to have an effect.</p>

<h3>Here is an example to reproduce:</h3>

<pre class=""lang-kotlin prettyprint-override""><code>import io.ktor.client.HttpClient
import io.ktor.client.features.ResponseException
import io.ktor.client.features.auth.Auth
import io.ktor.client.features.auth.providers.basic
import io.ktor.client.features.json.JsonFeature
import io.ktor.client.features.json.serializer.KotlinxSerializer
import io.ktor.client.features.logging.DEFAULT
import io.ktor.client.features.logging.LogLevel
import io.ktor.client.features.logging.Logger
import io.ktor.client.features.logging.Logging
import io.ktor.client.request.get
import io.ktor.client.request.header
import kotlinx.coroutines.runBlocking
import java.util.*

fun main() = runBlocking {
    val client = HttpClient {
        install(Logging) {
            logger = Logger.DEFAULT
            level = LogLevel.HEADERS
        }
        install(JsonFeature) {
            serializer = KotlinxSerializer()
        }
        install(Auth) {
            basic {
                username = ""user""
                password = ""pass""
            }
        }
    }
    val url = ""https://en.wikipedia.org/wiki/Main_Page""

    val failing = try {
        client.get&lt;String&gt;(url)
    } catch (e: ResponseException) {
        ""failed""
    }

    val succeeding = try {
        client.get&lt;String&gt;(url) {
            header(""Authorization"", ""Basic ${Base64.getEncoder().encodeToString(""user:pass"".toByteArray())}"")
        }
    } catch (e: ResponseException) {
        ""failed""
    }
}
</code></pre>

<h3>Observation</h3>

<p>From the logger output, you can see that client does not send <code>Authorization</code> header but I experience no problems when I provide such header manually:</p>

<p>First request (failing example:)</p>

<pre><code>[main] INFO io.ktor.client.HttpClient - REQUEST: https://en.wikipedia.org/wiki/Main_Page
[main] INFO io.ktor.client.HttpClient - METHOD: HttpMethod(value=GET)
[main] INFO io.ktor.client.HttpClient - COMMON HEADERS
[main] INFO io.ktor.client.HttpClient - -&gt; Accept: application/json
[main] INFO io.ktor.client.HttpClient - -&gt; Accept-Charset: UTF-8
[main] INFO io.ktor.client.HttpClient - CONTENT HEADERS
</code></pre>

<p>Second request (succeeding example:)</p>

<pre><code>[main] INFO io.ktor.client.HttpClient - REQUEST: https://en.wikipedia.org/wiki/Main_Page
[main] INFO io.ktor.client.HttpClient - METHOD: HttpMethod(value=GET)
[main] INFO io.ktor.client.HttpClient - COMMON HEADERS
[main] INFO io.ktor.client.HttpClient - -&gt; Authorization: Basic dXNlcjpwYXNz
[main] INFO io.ktor.client.HttpClient - -&gt; Accept: application/json
[main] INFO io.ktor.client.HttpClient - -&gt; Accept-Charset: UTF-8
[main] INFO io.ktor.client.HttpClient - CONTENT HEADERS

</code></pre>

<h3>Environment</h3>

<ul>
<li>Kotlin: 1.4-M1</li>
</ul>

<p>Ktor Artifacts version 1.3.1:</p>

<ul>
<li>ktor-client-core</li>
<li>ktor-client-logging</li>
<li>ktor-client-json</li>
<li>ktor-client-serialization</li>
<li>ktor-client-auth-basic</li>
</ul>

<h3>Did I miss something?</h3>
","7598113","","","","","2020-04-26 01:08:35","Ktor client Auth feature does not sending Authorization header","<kotlin><ktor><kotlin-multiplatform><ktor-client>","1","3","","","","61362485","141923","141923","ktor-client","6","",""
"16823387","1","16839578","","2013-05-29 20:39:26","","1","647","<p>I am using Projekktor to display video, but if someone is using, say, an iPhone I want to send out a smaller video than the full 1080p that might be sent to a browser.</p>

<p>Is there a built-in way to do this, or do I need to do a user-agent check and create a playlist based on the device manually?</p>
","722","","","","","2013-05-30 15:01:42","Projekktor: supporting multiple video sizes","<html5-video><projekktor>","1","0","","","","16823387","92386","92386","projekktor","18","17010138","17010137"
"16827572","1","","","2013-05-30 03:43:15","","0","206","<p>I have been looking for a media player for a project that I am working on and I stumbled upon Speakker (<a href=""http://www.speakker.com/"" rel=""nofollow noreferrer"">http://www.speakker.com/</a>) today.  Speakker seems to offer exactly what I am looking for, however, there are a couple of buttons on the interface that I just can not have (see below in red).</p>

<p><img src=""https://i.stack.imgur.com/ZfPi3.png"" alt=""Player""></p>

<p>Has anyone else used this player before, and if so, how can I get rid of these buttons?</p>
","1282430","","","","","2013-05-30 15:06:28","Speakker Hide Social Media Buttons","<html5-audio><projekktor>","1","0","","","","16827572","92386","92386","projekktor","18","17010138","17010137"
"16908465","1","","","2013-06-04 01:32:48","","0","150","<p>Is there a way to allow the user to remove items from the speakker playlist?  I don't want to have to write a separate page that manages the playlist.</p>
","1282430","","","","","2013-06-04 02:44:49","Speakker - Allow user to remove items from playlist","<html5-audio><projekktor>","1","0","","","","16908465","92386","92386","projekktor","18","17010138","17010137"
"19639983","1","19656451","","2013-10-28 16:21:53","","0","192","<p>I'm using the <code>projekktor</code> player and I have some logic that will trigger the player to play:</p>

<p><code>player.setPlay();</code> when another song is complete. This works flawlessly on Chrome and Firefox, but on Safari, if I switch to another tab, it doesn't work until I switch back to the tab I'm on. This is for Safari on the Desktop on a Mac.</p>

<p>The relevant code is:</p>

<pre><code>function loopSong(){
    var idSong = player.getItemIdSong();
    $timeout(function(){
        player.setActiveItem(idSong);
        player.setPlay();
    }, 100);    
};
</code></pre>

<p>Any help would be greatly appreciated.</p>
","239879","","","","","2013-10-29 11:04:23","Looping in projekktor with Safari not working","<javascript><projekktor>","1","0","","","","19639983","92386","92386","projekktor","18","17010138","17010137"
