Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,PostId,TagId,Id,TagName,Count,ExcerptPostId,WikiPostId
"44611934","1","44612211","","2017-06-18 05:12:51","","1","398","<p>I have copied one object into another with help of </p>

<pre><code>BeanUtils.CopyProperties(Src,Dest);

From : package org.springframework.beans;
</code></pre>

<p>Now further in logic , with help of iterator I modify the list inside Dest object.</p>

<p>I want src object to be as it is.</p>

<p>But I see a weird behavior.
My Src is also getting modified.</p>

<p>What can be the reason ?</p>

<p><strong>Example:</strong>
src and Dest have list:   [Mango , Apple]
<br></p>

<p>I removed Mango from Dest with help of iteartor.
<br></p>

<p>later I see<br>
Src have [Apple]<br>
Dest have [Apple] <br></p>

<p>Is it happening because of shallow copy ?</p>
","1878022","","1878022","","2017-06-18 06:01:49","2017-06-18 06:13:36","Source getting modiefied when I modify target object of BeanUtils.CopyProperties","<java><list><clone><spring-framework-beans>","1","2","","","","44611934","127018","127018","spring-framework-beans","105","",""
"44655455","1","","","2017-06-20 14:11:29","","0","140","<p>i have query</p>

<pre><code>db.getCollection('collectionName').aggregate([
{
    $project: {
        '_id':1,
        'arrayField': {
            $filter: {
                input: '$arrayField',
                as: 'arrayField',
                cond: { $or: [ 
                    {$eq: [ [LUUID(""********-****-****-****-************"")],['$$arrayField._id'] ] },
                    {$eq: [ [LUUID(""********-****-****-****-************"")],['$$arrayField._id'] ] }
                  ] }
            }
        }
    }
}])
</code></pre>

<p>How will it look in MongoTemplate? And it is possible to rewrite the <strong>cond</strong>?</p>
","7126025","","","","","2017-07-05 08:14:02","Mongo string query to MongoTemplate (java, springframework)","<java><mongodb><spring-framework-beans>","1","0","","","","44655455","127018","127018","spring-framework-beans","105","",""
"44931127","1","44954250","","2017-07-05 16:03:42","","1","925","<p>I  am having some issues running my integration tests after upgrading the Spring Framework spring-test dependency from 4.2.9 to 4.3.9.</p>

<p>I am using a ContextConfiguration class which implements the spring test <code>SmartContextLoader</code> which allowed me to load different .xml config files which are split by profile. Based on the current spring profile it will run the specific beans for that profile.</p>

<p>This <code>ContextConfigurationLoader</code> I have ran perfectly fine in version <code>4.2.9</code> but after upgrading to version <code>4.3</code> and I am struggling to resolve this issue.</p>

<p>I am including the <code>ContextConfigurationLoader</code> I created in my integration tests like so.</p>

<pre><code>@ContextConfiguration(loader=ContextConfigurationLoader.class)
@RunWith(SpringJUnit4ClassRunner.class)
public class MyIntegrationTest {
     // Test Body
}
</code></pre>

<p>The <code>ContextConfigurationLoader</code> looks like this,</p>

<pre><code>public class ContextConfigurationLoader implements SmartContextLoader {

    @Override
    public void processContextConfiguration(ContextConfigurationAttributes contextConfigurationAttributes) {

    }

    @Override
    public ApplicationContext loadContext(MergedContextConfiguration mergedContextConfiguration) throws Exception {

        GenericXmlApplicationContext context = new GenericXmlApplicationContext();

        context.getEnvironment().setActiveProfiles(mergedContextConfiguration.getActiveProfiles());

        new XmlBeanDefinitionReader(context).
                loadBeanDefinitions(mergedContextConfiguration.getLocations());

        context.load(
                ""/development.xml"",
                ""/staging.xml"",
                ""/production.xml"",
        );

        AnnotationConfigUtils.registerAnnotationConfigProcessors(context);

        context.refresh();
        context.registerShutdownHook();

        return context;
    }

    @Override
    public String[] processLocations(Class&lt;?&gt; aClass, String... strings) {
        return new String[0];
    }

    @Override
    public ApplicationContext loadContext(String... strings) throws Exception {
        ApplicationContext context = ApplicationContextFactory.create();

        context.getBean(""dbUnitDatabaseConnection"");
        return ApplicationContextFactory.create();
    }
}
</code></pre>

<p>Lastly this is the error response I get after attempting to run my tests.</p>

<pre><code>java.lang.IllegalStateException: ContextConfigurationLoader was unable to detect defaults, and no ApplicationContextInitializers or ContextCustomizers were declared for context configuration attributes [[ContextConfigurationAttributes@53ca01a2 declaringClass = 'com.class.path.to.MyIntegrationTest', classes = '{}', locations = '{}', inheritLocations = true, initializers = '{}', inheritInitializers = true, name = [null], contextLoaderClass = 'com.class.path.to.ContextConfigurationLoader']]
</code></pre>

<p>Thanks for your help, let me know if you need anymore information.</p>

<p>One solution I have found is including all of the .xml config files into one file and using the <code>@ContextConfiguration</code> annotation like this.</p>

<pre><code>@ContextConfiguration(""/config.xml"")
</code></pre>

<p>But this would require some other changes to the rest of the code outside of the tests. This also doesn't help explain why my current implementation doesn't work on the latest Spring Framework spring-test version.</p>
","844226","","388980","","2017-07-06 16:09:57","2017-07-06 16:21:14","Custom ContextConfiguration Loader issues when upgrading from Spring Framework 4.2.9 to 4.3+","<java><spring><spring-test><context-configuration><spring-framework-beans>","1","0","1","","","44931127","127018","127018","spring-framework-beans","105","",""
"45287079","1","45287211","","2017-07-24 17:57:14","","0","421","<p>I am absolutely new to TestNG, Spring framework etc. and I'm trying to use the annotation <code>@Value</code> access to configuration file via the <code>@Configuration</code> annotation.</p>

<p>All I'm trying to achieve here is to make the console write out ""hi"" from the config file accessing the value via <code>@Value</code>. I must be obviously missing the whole point of the <code>@Value</code> annotation (or <code>@Autowired</code> or some other annotations) as all I'm gettting is <code>java.lang.NullPointerException</code>.</p>

<p>I have the following three files (reduced to the absolute minimum):</p>

<p>config.properties</p>

<pre><code>a=""hi""
</code></pre>

<p>TestConfiguration.java</p>

<pre><code>@Configuration
@PropertySource(""config.properties"")
public class TestConfiguration {
    @Value(""${a}"")
    public String A;
}
</code></pre>

<p>TrialTest.java</p>

<pre><code>public class TrialTest {
    @Autowired
    private TestConfiguration testConfiguration;

    @Test
    public void test() {
        System.out.println(testConfiguration.A);
   }
}
</code></pre>

<p>Thanks a lot.</p>
","1770501","","","","","2017-07-24 18:15:22","Cannot @Autowire configuration","<java><selenium><testng><spring-framework-beans>","2","4","","","","45287079","127018","127018","spring-framework-beans","105","",""
"45363290","1","","","2017-07-28 01:02:13","","1","869","<p>The UsersDAOImpl class is supposed to add a new user when I run the file as a JUnit test, but I keep getting a NullPointerException when I call sessionFactory.getCurrentSession() and I don't know why.</p>

<p>The session factory is put in the beans.xml.</p>

<p>The credentials to the database were removed for obvious reasons.</p>

<p>[beans.XML]</p>

<pre><code>    &lt;?xml version=""1.0"" encoding=""UTF-8""?&gt;
    &lt;beans xmlns=""http://www.springframework.org/schema/beans""
xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:context=""http://www.springframework.org/schema/context""
xmlns:tx=""http://www.springframework.org/schema/tx""
xsi:schemaLocation=""http://www.springframework.org/schema/beans http://www.springframework.org/schema/beans/spring-beans.xsd
    http://www.springframework.org/schema/context http://www.springframework.org/schema/context/spring-context-4.2.xsd
    http://www.springframework.org/schema/tx http://www.springframework.org/schema/tx/spring-tx-4.2.xsd""&gt;
        &lt;!-- enable autowiring --&gt;
        &lt;context:component-scan base-package=""src""&gt;&lt;/context:component-scan&gt;
        &lt;!-- enable @Transactional --&gt;
        &lt;tx:annotation-driven /&gt;
        &lt;bean id=""myDataSource"" class=""org.apache.commons.dbcp.BasicDataSource""&gt;
            &lt;property name=""driverClassName"" value=""oracle.jdbc.driver.OracleDriver""&gt;&lt;/property&gt;
            &lt;property name=""username"" value=""{Master}""&gt;&lt;/property&gt;
            &lt;property name=""password"" value=""{password}""&gt;&lt;/property&gt;
            &lt;property name=""url"" value=""{url}""&gt;&lt;/property&gt;
        &lt;/bean&gt;
        &lt;bean id=""mySessionFactory"" class=""org.springframework.orm.hibernate4.LocalSessionFactoryBean""&gt;
            &lt;property name=""dataSource"" ref=""myDataSource""&gt;&lt;/property&gt;
            &lt;property name=""packagesToScan"" value=""src""&gt;&lt;/property&gt;
            &lt;property name=""hibernateProperties""&gt;
                &lt;props&gt;
                    &lt;prop key=""hibernate.dialect""&gt;org.hibernate.dialect.Oracle10gDialect&lt;/prop&gt;
                    &lt;prop key=""hibernate.show_sql""&gt;true&lt;/prop&gt;
                    &lt;prop key=""hibernate.format_sql""&gt;true&lt;/prop&gt;
                &lt;/props&gt;
            &lt;/property&gt;
        &lt;/bean&gt;
        &lt;bean id=""transactionManager"" class=""org.springframework.orm.hibernate4.HibernateTransactionManager""&gt;
            &lt;property name=""sessionFactory"" ref=""mySessionFactory""&gt;
    &lt;/property&gt; 
                &lt;/bean&gt;
        &lt;bean id=""usersDAO"" class=""dao.UsersDAOImpl""&gt;
            &lt;property name=""sessionFactory"" ref=""mySessionFactory""&gt;        &lt;/property&gt;
        &lt;/bean&gt;
     &lt;/beans&gt;
</code></pre>

<p>[UsersDAOImpl.java]</p>

<pre><code>package dao;

import static org.junit.Assert.*;
import java.util.List;
import org.hibernate.Query;
import org.hibernate.Session;
import org.hibernate.SessionFactory;
import org.hibernate.Transaction;
import org.junit.Test;
import org.springframework.beans.factory.annotation.Autowired;
import org.springframework.transaction.annotation.Propagation;
import org.springframework.transaction.annotation.Transactional;
import customExceptions.*;
import util.Debug;
import util.HibernateUtil;
import domain.Users;
@Transactional
public class UsersDAOImpl implements UsersDAO {

@Autowired
private SessionFactory sessionFactory;

public void setSessionFactory(SessionFactory sessionfactory) {
    this.sessionFactory = sessionfactory;
}

@Test
public void testPush() {
    try {
        push(new Users(""username6"", ""email@gmail.com"", ""password"", ""firstName"", ""lastName"", false));
    } catch (UserNameTakenException e) {
        e.printStackTrace();
        fail();
    } catch (InvalidNameException e) {
        e.printStackTrace();
        fail();
    }
}

/**
 * Adds a new user to the database
 * 
 * @param newUser
 *            The user to be added
 * @throws UserNameTakenException
 *             In the case a username is taken
 * @throws InvalidNameException
 *             If a field is left blank, but front end should prevent that
 */
@Override
@Transactional(propagation = Propagation.REQUIRED)
public void push(Users newUser) throws UserNameTakenException, InvalidNameException {
    // For debugging purposes:
    Debug.printMessage(this.getClass(), ""push()"", ""invoked"");
    // Check if there are any empty Strings
    if (newUser.getUsername().isEmpty() || newUser.getPassword().isEmpty() || newUser.getFirstName().isEmpty()
            || newUser.getLastName().isEmpty()) {
        throw new InvalidNameException(""There is an empty String"");
    }




    // Get the session
    //THIS IS WHERE I GET THE EXCEPTION
    Session sess = sessionFactory.getCurrentSession();




    // Check to see if the username is taken
    Users users = getUserByName(newUser.getUsername());
    // If the list is not empty, a user with the name was found
    if (users != null) {
        sess.close();
        throw new UserNameTakenException(""The username was found in the database"");
    } else {
        // Otherwise, add the new user
        // Debug
        Debug.printMessage(this.getClass(), ""push()"", ""username available."");
        Debug.printErrorMessage(this.getClass(), ""push()"", ""saving "" + newUser.getUsername());
        sess.save(newUser);
        sess.close();
    }

}

/**
 * Updates the User's password in the database
 * 
 * @param user
 *            The user to change
 * @param newVal
 *            The new password
 */
@Override
public void updatePassword(Users user, String newVal) {
    Debug.printMessage(this.getClass(), ""updatePassword()"", ""invoked"");
    Session sess = HibernateUtil.getSession();
    Transaction trans = sess.beginTransaction();
    user.setPassword(newVal);
    sess.update(user);
    trans.commit();
    sess.close();
}

/**
 * Updates the User's first name in the database
 * 
 * @param user
 *            The user to change
 * @param newVal
 *            The new first name
 */
@Override
public void updateFirstName(Users user, String newVal) {
    // For debugging purposes:
    Debug.printMessage(this.getClass(), ""updateFirstName()"", ""invoked"");
    Session sess = HibernateUtil.getSession();
    Transaction trans = sess.beginTransaction();
    user.setFirstName(newVal);
    sess.update(user);
    trans.commit();
    sess.close();
}

/**
 * Updates the User's last name in the database
 * 
 * @param user
 *            The user to change
 * @param newVal
 *            The new last name
 */
@Override
public void updateLastName(Users user, String newVal) {
    // For debugging purposes:
    Debug.printMessage(this.getClass(), ""updateLastName()"", ""invoked"");
    Session sess = HibernateUtil.getSession();
    Transaction trans = sess.beginTransaction();
    user.setLastName(newVal);
    sess.update(user);
    trans.commit();
    sess.close();
}

/**
 * Returns the user with the given username
 * 
 * @param username
 *            The username to find
 */
@Override
public Users getUserByName(String username) {
    // For debugging purposes:
    Debug.printMessage(this.getClass(), ""getUserByName()"", ""invoked"");
    Session sess = HibernateUtil.getSession();
    Users user = (Users) sess.get(Users.class, username);
    sess.close();
    return user;
}

/**
 * Returns a list of all users from A_USERS
 */
@Override
public List&lt;Users&gt; getAllUsers() {
    // For debugging purposes:
    Debug.printMessage(this.getClass(), ""getAllUsers()"", ""invoked"");
    Session sess = HibernateUtil.getSession();
    Query query = sess.getNamedQuery(""getAllUsers"");
    List&lt;Users&gt; users = query.list();
    sess.close();
    return users;
 }
}
</code></pre>

<p>Also, I apologize if this is formatted incorrectly. This is my first time posting a question.</p>

<p>The Stack Trace</p>

<pre><code>java.lang.NullPointerException
at dao.UsersDAOImpl.push(UsersDAOImpl.java:65)
at dao.UsersDAOImpl.testPush(UsersDAOImpl.java:31)
at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
at java.lang.reflect.Method.invoke(Method.java:497)
at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50)
at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47)
at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325)
at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:78)
at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:57)
at org.junit.runners.ParentRunner$3.run(ParentRunner.java:290)
at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71)
at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288)
at org.junit.runners.ParentRunner.access$000(ParentRunner.java:58)
at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268)
at org.junit.runners.ParentRunner.run(ParentRunner.java:363)
at org.eclipse.jdt.internal.junit4.runner.JUnit4TestReference.run(JUnit4TestReference.java:86)
at org.eclipse.jdt.internal.junit.runner.TestExecution.run(TestExecution.java:38)
at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.runTests(RemoteTestRunner.java:459)
at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.runTests(RemoteTestRunner.java:678)
at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.run(RemoteTestRunner.java:382)
at org.eclipse.jdt.internal.junit.runner.RemoteTestRunner.main(RemoteTestRunner.java:192)
</code></pre>

<p>null</p>
","8379051","","8379051","","2017-07-28 01:15:36","2017-07-28 01:50:50","sessionFactory.getCurrentSession() causes a NullPointerException","<java><spring><spring-framework-beans>","2","4","","2017-07-29 10:57:16","","45363290","127018","127018","spring-framework-beans","105","",""
"45570146","1","","","2017-08-08 13:47:50","","0","1249","<p>I'm trying to implement an SSO service with Spring SAML and ADFS, I generated the <code>.keystore</code> file using <code>""%JAVA_HOME%\bin\keytool"" -genkey -alias tomcat -keyalg RSA</code> and added it as mentionned to server.xml file like this <code>&lt;Connector SSLEnabled=""true"" clientAuth=""false"" keystoreFile=""${user.home}/.keystore"" keystorePass=""changeit"" maxThreads=""150"" port=""8443"" protocol=""org.apache.coyote.http11.Http11NioProtocol"" scheme=""https"" secure=""true"" sslProtocol=""TLS""/&gt;</code>.
I'm also using the identical java code as in this <a href=""https://github.com/vdenotaris/spring-boot-security-saml-sample/blob/master/src/main/java/com/vdenotaris/spring/boot/security/saml/web/config/WebSecurityConfig.java"" rel=""nofollow noreferrer"">link</a>. 
but I'm getting this error message:</p>

<pre><code>2017-08-08 14:36:20,097 WARN  org.apache.xml.security.signature.XMLSignature.checkSignatureValue:724 - Signature verification failed.
[http-nio-8443-exec-6] INFO org.springframework.security.saml.log.SAMLDefaultLogger - AuthNResponse;FAILURE;0:0:0:0:0:0:0:1;https://localhost:8443/webapp/saml/metadata;http://SERVER6.myserver.com/adfs/services/trust;;;org.opensaml.common.SAMLException: Response doesn't have any valid assertion which would pass subject validation
at org.springframework.security.saml.websso.WebSSOProfileConsumerImpl.processAuthenticationResponse(WebSSOProfileConsumerImpl.java:229)
at org.springframework.security.saml.SAMLAuthenticationProvider.authenticate(SAMLAuthenticationProvider.java:87)
at org.springframework.security.authentication.ProviderManager.authenticate(ProviderManager.java:174)
at org.springframework.security.saml.SAMLProcessingFilter.attemptAuthentication(SAMLProcessingFilter.java:87)
at org.springframework.security.web.authentication.AbstractAuthenticationProcessingFilter.doFilter(AbstractAuthenticationProcessingFilter.java:212)
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:331)
at org.springframework.security.web.FilterChainProxy.doFilterInternal(FilterChainProxy.java:214)
at org.springframework.security.web.FilterChainProxy.doFilter(FilterChainProxy.java:185)
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:331)
at org.springframework.security.web.authentication.www.BasicAuthenticationFilter.doFilterInternal(BasicAuthenticationFilter.java:158)
at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107)
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:331)
at org.springframework.security.web.authentication.logout.LogoutFilter.doFilter(LogoutFilter.java:116)
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:331)
at org.springframework.security.web.header.HeaderWriterFilter.doFilterInternal(HeaderWriterFilter.java:64)
at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107)
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:331)
at org.springframework.security.web.context.SecurityContextPersistenceFilter.doFilter(SecurityContextPersistenceFilter.java:105)
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:331)
at org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter.doFilterInternal(WebAsyncManagerIntegrationFilter.java:56)
at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107)
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:331)
at org.springframework.security.saml.metadata.MetadataGeneratorFilter.doFilter(MetadataGeneratorFilter.java:87)
at org.springframework.security.web.FilterChainProxy$VirtualFilterChain.doFilter(FilterChainProxy.java:331)
at org.springframework.security.web.FilterChainProxy.doFilterInternal(FilterChainProxy.java:214)
at org.springframework.security.web.FilterChainProxy.doFilter(FilterChainProxy.java:177)
at org.springframework.web.filter.DelegatingFilterProxy.invokeDelegate(DelegatingFilterProxy.java:346)
at org.springframework.web.filter.DelegatingFilterProxy.doFilter(DelegatingFilterProxy.java:262)
at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:239)
at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:206)
at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:212)
at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:106)
at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:502)
at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:141)
at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:79)
at org.apache.catalina.valves.AbstractAccessLogValve.invoke(AbstractAccessLogValve.java:616)
at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:88)
at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:521)
at org.apache.coyote.http11.AbstractHttp11Processor.process(AbstractHttp11Processor.java:1096)
at org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:674)
at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1500)
at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.run(NioEndpoint.java:1456)
at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)
at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)
at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
at java.lang.Thread.run(Thread.java:745)
Caused by: org.opensaml.xml.validation.ValidationException: Signature is not trusted or invalid
at org.springframework.security.saml.websso.AbstractProfileBase.verifySignature(AbstractProfileBase.java:272)
at org.springframework.security.saml.websso.WebSSOProfileConsumerImpl.verifyAssertionSignature(WebSSOProfileConsumerImpl.java:419)
at org.springframework.security.saml.websso.WebSSOProfileConsumerImpl.verifyAssertion(WebSSOProfileConsumerImpl.java:292)
at org.springframework.security.saml.websso.WebSSOProfileConsumerImpl.processAuthenticationResponse(WebSSOProfileConsumerImpl.java:214)
... 45 more
</code></pre>

<p>any help is really appreciated</p>
","5950428","","","","","2017-08-11 09:15:37","Spring SAML + ADFS : Response doesn't have any valid assertion which would pass subject validation","<ssl><saml-2.0><spring-saml><adfs2.0><spring-framework-beans>","1","0","","","","45570146","127018","127018","spring-framework-beans","105","",""
"45570222","1","","","2017-08-08 13:51:39","","1","146","<p>I have a JavaFX Application (not a Server-Application!) with many different areas.</p>

<p>These areas have a hierarchy of sub-areas, parts of it reused.</p>

<p>I am using Spring (4.x) for DI and it's getting painful complex.</p>

<p>My question: What is best practice to ensure that I get the right thing (mostly prototype scoped beans) injected into a Sub-Area?</p>

<p>Do I have to implement Custom-Scopes or Sub-Contexts?</p>

<hr>

<p>PS: The Sub-Context solution already worked, but the entire frontend got way too slow from that (about 10 Seconds for building the subcontext)</p>
","470370","","470370","","2017-08-08 14:55:19","2017-08-08 14:55:19","When to use Spring Sub-Contexts and when to use Custom-Scopes?","<java><spring><javafx><dependency-injection><spring-framework-beans>","0","0","","","","45570222","127018","127018","spring-framework-beans","105","",""
"45572067","1","","","2017-08-08 15:12:46","","0","120","<p>I have this myProperties.properties files with the following content:</p>

<pre><code>enum1 = a
enum2 = b
enum3 = c
enum4 = d
and so on...
</code></pre>

<p>My problem is how can I populate or inject all property values in a <code>Map&lt;String,String&gt;</code> - enum1..4 as the key and 1..d as the value from Environment variable.</p>

<p>Thanks for your help.</p>
","1154062","","1154062","","2017-08-08 15:41:32","2017-08-08 16:11:36","Populate Map<String,String> with entire .property file from Environment Spring","<spring><spring-mvc><spring-properties><spring-environment><spring-framework-beans>","1","0","","","","45572067","127018","127018","spring-framework-beans","105","",""
"45750453","1","45750702","","2017-08-18 07:02:59","","1","1283","<p>I can see that I can do component scan and restrict what packages are scanned using XML file.</p>

<pre><code>&lt;beans&gt;
    &lt;context:component-scan base-package=""com.mycompany""/&gt;
&lt;/beans&gt;
</code></pre>

<p>How can I do the same in YML file?</p>
","78000","","","","","2018-03-15 08:39:49","How to set Spring component scan in the Spring YML configuration file?","<spring><spring-framework-beans>","2","1","1","","","45750453","127018","127018","spring-framework-beans","105","",""
"46006413","1","","","2017-09-01 18:53:37","","1","356","<p>I am wondering how to initialize a variable in abstract class in Spring Framework. I cannot change the constructor which is already present. I have referred to <a href=""http://forum.spring.io/forum/spring-projects/container/47496-dependency-inject-abstract-class-property"" rel=""nofollow noreferrer"">http://forum.spring.io/forum/spring-projects/container/47496-dependency-inject-abstract-class-property</a> but the property has <code>null</code> value. </p>

<p>I have used <code>abtract=true</code> in my xml file.</p>

<p>My Abstract Class:</p>

<pre><code>    package com.hi;
    public abstract class Xyz implements Serializable{
            private String path;
            public String getPath(){return path;}
            public void setPath(String path){this.path = path;}
            private void init(){
                //path will be used to get the file from the location
            }
            public Serializable getExpr(){
                 init();
            }
    }
</code></pre>

<p>My Inherited Class:</p>

<pre><code>public class Abc extends Xyz implements Serializable{
   private Abc(String a){
       super(a,TYPE.data);
   }
   public static Abc of(){
      return new Abc(a);
   }
}
</code></pre>

<p>My xml file:</p>

<pre><code>&lt;bean id=""xyz""
          class=""com.hi.Xyz""
          abstract=""true""&gt;
        &lt;property name=""path"" value=""${PATH}"" /&gt;
&lt;/bean&gt;
</code></pre>

<p>The inherited class does not have to get the file. So the abstract class can have the path directly injected and use the path.</p>
","2887503","","2887503","","2017-09-01 21:54:09","2017-09-01 21:54:09","Initialize Abstract Property in Spring Framework","<java><spring><abstract-class><spring-framework-beans>","0","10","","","","46006413","127018","127018","spring-framework-beans","105","",""
