Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,PostId,TagId,Id,TagName,Count,ExcerptPostId,WikiPostId
"41712123","1","41712801","","2017-01-18 05:38:49","","3","403","<p>I have installed vapor on my mac and when trying to build project, it will never ending.</p>

<p>I am getting waring when trying to install again like below (brew install qutheory/tap/vapor)</p>

<pre><code>Warning: qutheory/tap/vapor-0.4.1 already installed, it's just not linked.
</code></pre>

<p>and below is my running console output.</p>

<pre><code>MAC-mini-A:vapor-docker22 mac$ vapor build
Fetching Dependencies [Done]
Building Project [ •                       ]
</code></pre>

<p>The last building project step will never ending.</p>

<p>.</p>

<p>Edit:</p>

<p>Building with Xcode works good, but I want to do with 'vapor build' command not from Xcode.</p>
","2949441","","2949441","","2017-01-18 05:43:49","2017-01-18 09:56:15","swift vapor build(Building Project) will never ending and getting warning 'it's just not linked'","<swift><vapor><vapor-cli>","1","0","","","","41712123","124188","124188","vapor-cli","1","41712133","41712132"
"54875500","1","","","2019-02-25 22:13:03","","0","77","<p>I'm starting to use Vapor (the server-side Swift framework) and I saw the driver named Theo made for Vapor. But I am wondering how I would  deploy a project with Theo into Vapor Cloud 2? Does Vapor Cloud 2 support it?</p>

<p><strong>Update:</strong>
Here's the link for Theo 5.0 from Neo4j: <a href=""https://github.com/Neo4j-Swift/Neo4j-Swift"" rel=""nofollow noreferrer"">https://github.com/Neo4j-Swift/Neo4j-Swift</a></p>
","5573179","","5573179","","2019-09-04 01:11:21","2019-09-04 01:11:21","Deploy a project with Theo into Vapor cloud v2","<neo4j><vapor><vapor-cloud>","1","1","","","","54875500","137170","137170","vapor-cloud","3","55092033","55092032"
"57549145","1","57553432","","2019-08-18 23:46:13","","1","47","<p>How can I use my own domain when hosting on vapor cloud?</p>

<p>I have never written an API before and just started playing around with Vapor, I purchased a domain from godaddy and would like my API to use that for my routes instead of the domain Vapor is creating ex ""appname.vapor.cloud""</p>
","4109016","","","","","2019-08-19 08:57:42","How can I use my own domain with vapor cloud","<vapor><vapor-cloud>","1","0","","","","57549145","137170","137170","vapor-cloud","3","55092033","55092032"
"58944547","1","","","2019-11-19 23:43:31","","0","42","<p>I'm attempting to write a server with Vapor, that communicates with another server.
On an incoming call, /auth, I need to call another server which requires the request to be signed with a certificate.
Right now I just want to return the status code and the body.</p>

<p>Let's say the certificate is named test_cert.pfx and has the password ""test_pass"".
How can I attach that so my requests succeeds?</p>

<pre><code>router.get(""auth"") { req -&gt; Future&lt;String&gt; in
    var headers: HTTPHeaders = .init()
    headers.add(name: .contentType, value: ""application/json"")
    let bodyString = ""{\""someKey\"": \""someValue\""}""
    let body = HTTPBody(string: bodyString)
    let httpReq = HTTPRequest(
        method: .POST,
        url: URL(string: ""/auth"")!,
        headers: headers,
        body: body)
    let client = HTTPClient.connect(hostname: ""https://server.require.cert.com"", on: req)
    let httpRes = client.flatMap(to: HTTPResponse.self) { client in
        return client.send(httpReq)
    }

    let data = httpRes.map(to: String.self) { httpResponse in
        return ""\(httpResponse.status.code.description) \(httpResponse.body.description)""
    }
    return data
}
</code></pre>

<p>This is what happens right now:</p>

<blockquote>
  <p>[ ERROR ] connectFailed(NIO.NIOConnectionError(host: ""<a href=""https://server.require.cert.com"" rel=""nofollow noreferrer"">https://server.require.cert.com</a>"", port: 80, dnsAError: Optional(NIO.SocketAddressError.unknown(host: ""<a href=""https://server.require.cert.com"" rel=""nofollow noreferrer"">https://server.require.cert.com</a>"", port: 80)), dnsAAAAError: Optional(NIO.SocketAddressError.unknown(host: ""<a href=""https://server.require.cert.com"" rel=""nofollow noreferrer"">https://server.require.cert.com</a>"", port: 80)), connectionErrors: [])) (ErrorMiddleware.swift:26)
  [ DEBUG ] Conform <code>ChannelError</code> to <code>Debuggable</code> for better debug info. (ErrorMiddleware.swift:26)</p>
</blockquote>
","1329799","","","","","2019-11-19 23:43:31","POST request from Vapor with .pfx certificate","<swift><ssl><nio><vapor><vapor-cloud>","0","0","","","","58944547","137170","137170","vapor-cloud","3","55092033","55092032"
"54292759","1","54293436","","2019-01-21 15:09:07","","2","326","<p>I'm trying to setup a Vapor 3 project with SQLite.<br>
In the <code>configure.swift</code> file, I have the following setup related to sqlite:</p>

<pre><code>try services.register(FluentSQLiteProvider())

...

// Get the root directory of the project
// I have verified that the file is present at this path
let path = DirectoryConfig.detect().workDir + ""db_name.db""
let sqlite: SQLiteDatabase
do {
    sqlite = try SQLiteDatabase(storage: .file(path: path))
    print(""connected"") // called
} catch {
    print(error) // not called
    return
}

var databases = DatabasesConfig()
databases.add(database: sqlite, as: .sqlite)
services.register(databases)
</code></pre>

<p>In the database, I have a table called <code>posts</code>, that I want to query and return all entries from:</p>

<p><a href=""https://i.stack.imgur.com/KVIuB.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/KVIuB.png"" alt=""database table""></a></p>

<p>This is the <code>Post</code> implementation inside <em>/Sources/App/Models/</em>:</p>

<pre><code>final class Post: Content {
    var id: Int?
    var title: String
    var body: String

    init(id: Int? = nil, title: String, body: String) {
        self.id = id
        self.title = title
        self.body = body
    }
}
extension Post: SQLiteModel, Migration, Parameter { }
</code></pre>

<p>I have also added the migration in <code>configure.swift</code>:</p>

<pre><code>var migrations = MigrationConfig()
migrations.add(model: Post.self, database: .sqlite)
services.register(migrations)
</code></pre>

<p>In <code>routes.swift</code>, I define the <code>posts</code> route as follows:</p>

<pre><code>router.get(""posts"") { req in
    return Post.query(on: req).all()
}
</code></pre>

<p>Now, when calling <code>localhost:8080/posts</code>, I get:</p>

<pre><code>[]
</code></pre>

<p>Have I not properly connected the database?<br>
Have I missed something?</p>
","3397217","","3103448","","2019-01-22 16:41:23","2019-01-22 16:41:23","Vapor connect to SQLite Database","<swift><sqlite><vapor><vapor-fluent>","1","0","","","","54292759","136591","136591","vapor-fluent","38","54295329","54295328"
"54304666","1","54304704","","2019-01-22 09:05:31","","2","263","<p>I want to connect a MySQL database on my machine with a Vapor 3 app.<br>
My current <code>configure.swift</code> file looks as follows:</p>

<pre><code>try services.register(FluentMySQLProvider())

...

let mysqlConfig = MySQLDatabaseConfig(
    username: ""dev"",
    password: """",
    database: ""test""
)
let mysql = MySQLDatabase(config: mysqlConfig)

var databases = DatabasesConfig()
databases.add(database: mysql, as: .mysql)
services.register(databases)
</code></pre>

<p>This works just fine. However, since I need to add my Model to the migration configuration, I also need to add:</p>

<pre><code>var migrations = MigrationConfig()
migrations.add(model: Posts.self, database: .mysql)
services.register(migrations)
</code></pre>

<p>When running the app this time, I'm seeing an error saying:</p>

<blockquote>
  <p>Full authentication not supported over insecure connections.</p>
</blockquote>

<p>After some research, it seems that this error can be overcome by changing the password logic from <code>caching_sha2_password</code> to <code>mysql_native_password</code>.<br>
However, that leaves me with the error saying:</p>

<blockquote>
  <p>Unrecognized basic packet.</p>
</blockquote>

<p>How do I fix this?</p>
","3397217","","7568116","","2019-03-19 08:02:01","2019-03-19 08:02:01","MySQL & Vapor 3: unrecognized basic packet, full auth not supported","<swift><vapor><vapor-fluent><fluent-mysql>","1","0","1","","","54304666","136591","136591","vapor-fluent","38","54295329","54295328"
"54894342","1","54895086","","2019-02-26 21:25:09","","4","446","<p>I'm struggling with understanding how to perform a batch save of fetched objects and store them to the database. After I have stored the objects to the database I want to return the result of a query. 
I can't understand how to do this with EventLoopFuture since when I call <code>.wait()</code> I get the error message:</p>

<blockquote>
  <p>Precondition failed: BUG DETECTED: wait() must not be called when on an EventLoop.</p>
</blockquote>

<p>As an example of my problem:</p>

<ul>
<li>I need to fetch an entity from an external endpoint (let's say flights for an airport)</li>
<li>The result of that call needs to be saved to a database. If the flight exists in the database, it needs to be updated otherwise created.</li>
<li>When completed, a list of all the flights in from the database needs to be returned.</li>
</ul>

<p>This is what I got so far, but which gives me the bug:</p>

<pre><code>func flights(on conn: DatabaseConnectable, customerName: String, flightType: FlightType) throws -&gt; Future&lt;[Flight]&gt; {

    return Airport.query(on: conn).filter(\.customerName == customerName).first().flatMap(to: [Flight].self) { airport in
      guard let airport = airport else {
        throw Abort(.notFound)
      }

      guard let airportId = airport.id else {
        throw Abort(.internalServerError)
      }

      // Update items for customer
      let fetcher: AirportManaging?

      switch customerName.lowercased() {
      case ""coolCustomer"":
        fetcher = StoreOneFetcher()
      default:
        fetcher = nil
        debugPrint(""Unhandled customer to fetch from!"")
        // Do nothing
      }

      let completion = Flight.query(on: conn).filter(\.airportId == airportId).filter(\.flightType == flightType).all

      guard let flightFetcher = fetcher else { // No customer fetcher to get from, but still return whats in the DB
        return completion()
      }

      return try flightFetcher.fetchDataForAirport(customerName, on: conn).then({ (flights) -&gt; EventLoopFuture&lt;[Flight]&gt; in
        flights.forEach { flight in
          _ = try? self.storeOrUpdateFlightRecord(flight, airport: airport, on: conn).wait()
        }
        return completion()
      })
    }
  }

  func storeOrUpdateFlightRecord(_ flight: FetcherFlight, airport: Airport, on conn: DatabaseConnectable) throws -&gt; EventLoopFuture&lt;Flight&gt; {
    guard let airportId = airport.id else {
      throw Abort(.internalServerError)
    }

    return Flight.query(on: conn).filter(\.itemName == flight.itemName).filter(\.airportId == airportId).filter(\.flightType == flight.type).all().flatMap(to: Flight.self) { flights in
      if let firstFlight = flights.first {
        debugPrint(""Found flight in database, updating..."")
        return flight.toFlight(forAirport: airport).save(on: conn)
      }

      debugPrint(""Did not find flight, saving new..."")
      return flight.toFlight(forAirport: airport).save(on: conn)
    }
  }
</code></pre>

<p>So the problem in on line <code>_ = try? self.storeOrUpdateFlightRecord(flight, airport: airport, on: conn).wait()</code>. I can't call <code>wait()</code> since it'll block the eventLoop but if I call <code>map</code> or <code>flatMap</code> I need in turn return an <code>EventLoopFuture&lt;U&gt;</code> (<code>U</code> being <code>Flight</code>), which I am totally uninterested in. </p>

<p>I want <code>self.storeOrUpdateFlightRecord</code> to be called and the result ignored. How can I do that?</p>
","406677","","406677","","2019-02-27 20:17:11","2019-02-27 20:17:11","Vapor 3: Eventloop bug detected when using wait()","<swift><future><event-loop><vapor><vapor-fluent>","1","0","","","","54894342","136591","136591","vapor-fluent","38","54295329","54295328"
"54998287","1","55022184","","2019-03-05 08:22:26","","1","184","<p>When I am saving my object to the database, it stores the id of the object with +10. The autoincrement for the table increments by default with 1. When I manually add something to the database, it'll increment with 1. </p>

<p>Am I missing (or my misstake, setting) a setting for FluentMySQL?</p>

<pre><code>  func storeOrUpdateItemRecord(_ item: FetcherItem, store: Store, on conn: DatabaseConnectable) throws -&gt; EventLoopFuture&lt;Item&gt; {
    guard let storeId = store.id else {
      throw Abort(.internalServerError)
    }

    let calendar = Calendar.current
    let fromDate = calendar.startOfDay(for: Date())
    guard let endDate = calendar.date(bySettingHour: 23, minute: 59, second: 59, of: Date()) else { throw Abort(.internalServerError) }

    return Item.query(on: conn)
      // Bunch of filters
      .filter(\.scheduledDate &lt; endDate)
      .all()
      .flatMap(to: Flight.self) { flights in
        if var firstItem = flights.first {
          debugPrint(""Found item, updating..."")
          // Update a bunch of values
          return firstItem.save(on: conn)
        }

        debugPrint(""Did not find item, saving new..."")
        return item.toItem(forStore: store).save(on: conn)
    }
  }
</code></pre>

<p>The <code>toItem</code> func does nothing more then initiate a new <code>Item</code>:</p>

<pre><code>extension FetcherItem {

  func toItem(forStore store: Store) -&gt; Item {
    return Item.init(
      id: nil,
      // Set a bunch of values
      actualDate: actualDateTime)
  }
}
</code></pre>

<p>As you can see, the <code>id</code> is set to <code>nil</code>... which I would guess should store using <code>null</code> while making the insert query. </p>

<p>The result in the database:</p>

<p><a href=""https://i.stack.imgur.com/f89Dn.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/f89Dn.png"" alt=""MySQL db result""></a></p>

<p>What am I missing?</p>

<p><em>Update</em>:
After following suggestions from <a href=""https://stackoverflow.com/questions/53023892/how-do-i-log-sql-statements-in-vapor-3-fluent"">this page</a> I've added logging for the queries... and they seem to work as they should.
Example of what fluent runs for query:</p>

<pre><code>[mysql] [2019-03-06 08:49:44 +0000] INSERT INTO `Items` (`company`, `name`, `storeId`, [...] `scheduledDate`) VALUES (?, ?, ?, ?, ?, ?, ?, ?) [string(""A company""), string(""abc123""), integer8(1), [...] time(2019-3-6 16:25:0.0)]
</code></pre>

<p>As you can see, it doesn't set the <code>id</code> in any way. Maybe a MySQL problem?</p>
","406677","","406677","","2019-03-06 09:51:22","2019-03-06 11:36:21","Vapor 3 Fluent MySQL: save on model adds 10 to auto_increment","<mysql><swift><vapor><vapor-fluent>","1","0","","","","54998287","136591","136591","vapor-fluent","38","54295329","54295328"
"55089886","1","55090130","","2019-03-10 16:32:11","","3","523","<p>I have a model Campaign, that has multiple Months:</p>

<pre class=""lang-swift prettyprint-override""><code>final class Campaign: Content, SQLiteModel {
  var id: Int?
  var name: String
  var months: Children&lt;Campaign, Month&gt; {
    return children(\.campaignID)
  }
}
</code></pre>

<p>When I want to return a Campaign in the most basic way, it doesn't include the Months, as computed properties are not Codable as I understand.</p>

<pre class=""lang-swift prettyprint-override""><code>func getOneHandler(_ req: Request) throws -&gt; Future&lt;Campaign&gt; {
  return try req.parameters.next(Campaign.self)
}
</code></pre>

<p>So, I made a new struct to hold the full object I want to return</p>

<pre class=""lang-swift prettyprint-override""><code>struct FullCampaignData: Content {
  let id: Int
  let name: String
  var months: [Month]?
}
</code></pre>

<p>And then modified my route handler like this:</p>

<pre class=""lang-swift prettyprint-override""><code>func getOneHandler(_ req: Request) throws -&gt; Future&lt;FullCampaignData&gt; {
  return try req.parameters.next(Campaign.self).flatMap(to: FullCampaignData.self) { campaign in
    return try campaign.months.query(on: req).all().map(to: FullCampaignData.self) { months in
      return try FullCampaignData(id: campaign.requireID(), name: campaign.name, months: months)
    }
  }
}
</code></pre>

<p>This does work. However, it seems like a lot of work and a lot of boilerplate to do this. What's the normal Swifty ""Vapory"" way to deal with child objects, or other computed objects in general? Right now it seems to come down to a bunch of different versions of your models (for creation, for returning, the actual full internal one) and then converting between them, but I am hoping there is something I am missing here? Because it's so easy to forget to add a newly added model property also to that special public model. </p>

<p>Or at the very least, if converting between models in indeed the recommended way, is there a way doesn't need all these nested maps/flatmaps in the route handler?</p>
","403425","","","","","2019-03-10 16:56:53","Vapor 3: when returning a model, how to easily also return child objects","<swift><vapor><vapor-fluent>","1","2","","","","55089886","136591","136591","vapor-fluent","38","54295329","54295328"
"57733122","1","","","2019-08-30 20:57:40","","1","285","<p>We are running our website on the AWS serverless infrastructure through Laravel vapor now. It runs on a serverless Aurora database and uses Amazon SQS as the queue driver.  Basically the defaults for a Laravel Vapor deploy.</p>

<p>We are currently running into a performance issue that while we are trying to resolve it, has us smash our head into other walls we meet on our journey.  So here we go.</p>

<p><strong>What we want to do</strong></p>

<p>Our customers can have various types of subscriptions that need to be renewed. These subscriptions come in all kinds of flavours, can have different billing intervals, different currencies and different prices.</p>

<p>On our customer dashboard we want to present them with a nice card informing the customer about their upcoming renewals, with a good estimate of what the cost will be, so they can make sure they have enough credits:</p>

<p><a href=""https://i.stack.imgur.com/6xSfO.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/6xSfO.png"" alt=""Dashboard information""></a></p>

<p>As our subscriptions come with different flavours, we have one table that holds the basic subscription details, such as <code>net_renewal_date</code>.  It also references a <code>subscriptionable_id</code> of <code>subscriptionable_type</code> which is a morph relation ship to the different types of models that a user can have a subscription for.</p>

<p><strong>Our first attempt</strong></p>

<p>In our first attempt, we basically added a REST endpoint which fetched the upcoming renewal forecast.</p>

<p>It basically took all Subscriptions that were up for renewal the coming 30 days.  For each of those items, we would calculate the current price in its currency, and add tax caculations.</p>

<p>That was then returned into a collection that we further used to:
1/ calculated the total per currency
2/ filter that collection for items within the next 14 days, and calculate the same total per currency.</p>

<p>We would then basically just convert the different amounts to our base currency (EUR) and return the sum thereof.</p>

<p>This worked great for the vast majority of our clients.  Even customers with 100 subscriptions were no issue at all.</p>

<p>But then we migrated one of our larger customers to the new platform.  He basically had 1500+ subcsriptions renewing in the upcoming 30 days, so that didn't go well...</p>

<p><strong>Our second attempt</strong>
Because going through the above code simply doens't work in an acceptable amount of time, we decided we had to move the simulation calculation into a seperate job.</p>

<p>We added an attribute to the subscriptions table and called it 'simulated_renewal_amount'</p>

<p>This job would need to run every time when:
- a price changes
- the customer's discount would change (based on his loyalty, we provide seperate prices
- the exchanges rates change.</p>

<p>So the idea was to listen for any of these changes, and then dispatch a job to recalculate the simulated amount to any of the involved subscriptions.  This however means that a change in an exchange rate for instance can easily trigger 10,000 jobs to be processed.</p>

<p>And this is where it becomes tricky.
Even though running just one job only takes less than 1200ms in most cases, it seems that dispatching a lot of jobs that need to do the same calculations for a set of subscriptions is causing jobs running 60+ seconds when they are being aborted.</p>

<p>What is the best practice to setup such a queued job?  Should I just created one job in stead and process them sequentially?  </p>

<p>Any insights on how we can best set this up to start with, would be very welcome.  We've played a lot with it, and it always seems to be ending up with the same kind of issues.</p>

<p>FYI - we host the site on laravel vapor, so serverless on AWS infrastructure with an Aurora database.</p>
","8212904","","4947257","","2020-01-04 15:01:55","2020-01-28 11:33:39","Managing Queued jobs / Database connections / performance on Laravel Vapor","<laravel><amazon-web-services><amazon-sqs><jobs><laravel-vapor>","1","0","2","","","57733122","140584","140584","laravel-vapor","30","58347582","58347581"
