number,created_at,closed_at
16803,2019-01-02T11:42:07Z,2019-01-03T15:00:57Z
16805,2019-01-02T14:59:48Z,2019-01-02T19:15:30Z
16807,2019-01-04T09:44:51Z,2019-01-07T11:14:20Z
16809,2019-01-09T10:12:52Z,2019-01-09T10:23:50Z
16811,2019-01-10T08:35:21Z,2019-01-10T09:48:32Z
16814,2019-01-18T13:40:28Z,2019-01-26T10:31:25Z
16819,2019-01-21T05:16:22Z,2019-01-21T09:17:55Z
16821,2019-01-23T12:31:09Z,2019-01-23T15:00:46Z
16822,2019-01-24T07:28:20Z,2019-01-24T09:29:09Z
16824,2019-01-30T07:15:53Z,2019-01-30T08:12:13Z
16825,2019-01-30T10:36:35Z,2019-02-09T14:51:29Z
16826,2019-02-01T03:10:15Z,2019-02-01T07:25:44Z
16827,2019-02-04T07:31:17Z,2019-02-04T08:36:59Z
16828,2019-02-05T03:18:54Z,2019-02-06T10:15:39Z
16829,2019-02-06T01:29:57Z,2019-02-06T10:31:03Z
16830,2019-02-08T20:53:18Z,2019-03-06T17:08:06Z
16832,2019-02-16T13:33:56Z,2019-02-24T17:14:13Z
16834,2019-02-19T22:01:16Z,2019-02-19T22:32:20Z
16841,2019-03-02T10:20:45Z,2019-03-02T12:03:27Z
16853,2019-03-08T09:02:42Z,2019-03-08T10:20:40Z
16855,2019-03-14T12:26:27Z,2019-03-14T14:42:07Z
16858,2019-03-28T12:41:27Z,2019-03-28T15:15:56Z
16859,2019-03-29T12:14:33Z,2019-03-29T16:23:13Z
16860,2019-04-04T15:55:25Z,2019-05-09T18:28:35Z
16864,2019-04-16T03:39:06Z,2019-04-16T08:39:43Z
16866,2019-04-25T04:25:18Z,2019-04-27T14:40:39Z
16867,2019-04-25T08:37:29Z,2019-04-25T11:19:14Z
16870,2019-05-07T16:52:22Z,2019-05-08T16:13:22Z
16871,2019-05-09T12:30:28Z,2019-05-09T12:55:20Z
16874,2019-05-18T16:02:28Z,2019-05-19T14:02:42Z
16877,2019-05-27T12:02:59Z,2019-06-04T15:26:17Z
16881,2019-06-21T11:24:33Z,2019-06-21T19:46:45Z
16883,2019-07-11T09:13:38Z,2019-07-11T09:45:35Z
16884,2019-07-11T12:13:58Z,2019-07-11T13:11:58Z
16886,2019-07-17T13:14:03Z,2019-07-17T15:29:40Z
16887,2019-07-18T06:55:49Z,2019-07-18T07:03:24Z
16890,2019-07-25T11:41:30Z,2019-07-25T12:19:22Z
16891,2019-07-25T11:41:31Z,2019-07-25T12:19:26Z
16892,2019-07-26T12:40:08Z,2019-07-26T12:51:41Z
16897,2019-08-27T03:39:24Z,2019-08-27T03:40:37Z
16898,2019-08-27T03:49:22Z,2019-08-27T09:14:44Z
16899,2019-08-30T13:55:48Z,2019-08-30T15:28:47Z
16901,2019-09-06T09:44:07Z,2019-10-01T09:36:13Z
16903,2019-09-26T08:29:06Z,2019-09-26T09:43:10Z
16905,2019-10-08T12:53:03Z,2019-10-08T16:25:14Z
16907,2019-10-13T07:21:20Z,2019-10-14T08:44:33Z
16912,2019-11-06T21:30:54Z,2019-11-06T22:47:11Z
16914,2019-11-08T09:14:33Z,2019-11-08T20:24:42Z
16918,2019-11-18T22:51:23Z,2019-11-18T22:57:19Z
16919,2019-11-22T17:20:37Z,2019-11-28T09:26:20Z
16920,2019-11-26T06:53:45Z,2019-11-26T06:58:01Z
16921,2019-11-26T06:57:04Z,2019-11-26T12:09:13Z
16923,2019-11-29T12:52:21Z,2019-12-12T09:40:50Z
16924,2019-12-02T09:15:07Z,2019-12-02T10:33:45Z
16925,2019-12-03T13:39:38Z,2019-12-03T15:36:49Z
16926,2019-12-14T15:42:59Z,2019-12-14T16:00:20Z
16927,2019-12-18T11:16:20Z,2019-12-18T14:13:52Z
16928,2019-12-22T09:02:14Z,2019-12-22T20:29:41Z
16929,2019-12-30T02:58:16Z,2019-12-30T08:39:24Z
16933,2020-01-06T15:36:40Z,2020-01-07T16:48:18Z
16936,2020-01-07T17:02:13Z,2020-01-07T17:05:04Z
16937,2020-01-07T17:18:48Z,2020-01-08T10:56:06Z
16939,2020-01-20T05:49:32Z,2020-01-20T08:34:44Z
16940,2020-01-24T14:01:28Z,2020-01-24T16:06:23Z
16941,2020-01-25T15:39:15Z,2020-01-25T21:48:47Z
16944,2020-02-05T06:54:31Z,2020-02-05T13:46:18Z
16946,2020-02-10T16:21:54Z,2020-02-11T13:34:28Z
16983,2020-02-24T10:53:33Z,2020-02-24T13:36:13Z
16984,2020-02-24T12:21:18Z,2020-02-24T13:44:49Z
17003,2020-03-03T07:35:56Z,2020-03-03T10:48:20Z
17004,2020-03-05T02:52:52Z,2020-03-05T09:48:39Z
17005,2020-03-05T02:54:45Z,2020-03-05T02:56:07Z
17007,2020-03-11T19:24:53Z,2020-03-12T21:02:40Z
17010,2020-03-31T12:24:20Z,2020-04-01T12:12:47Z
17011,2020-04-06T18:22:00Z,2020-04-06T19:50:20Z
17020,2020-04-29T20:48:50Z,2020-04-30T15:17:00Z
17023,2020-05-04T13:05:04Z,2020-05-04T14:15:10Z
17025,2020-05-17T08:25:13Z,2020-06-01T09:52:49Z
17031,2020-05-24T10:24:34Z,2020-05-25T05:41:43Z
17032,2020-05-24T16:36:21Z,2020-05-24T19:11:50Z
