number,created_at,closed_at
3057,2019-01-02T02:47:39Z,2019-01-02T04:00:37Z
3061,2019-01-04T13:40:23Z,2019-01-04T14:09:29Z
3072,2019-01-12T17:00:44Z,2019-01-12T18:32:12Z
3074,2019-01-15T09:39:58Z,2019-06-27T15:04:42Z
3076,2019-01-17T07:55:43Z,2019-01-17T08:26:15Z
3078,2019-01-18T17:12:58Z,2019-01-18T18:01:18Z
3080,2019-01-24T15:58:34Z,2019-01-24T16:03:15Z
3081,2019-01-25T03:54:56Z,2019-01-25T04:26:28Z
3083,2019-01-25T13:43:02Z,2019-01-25T13:55:25Z
3084,2019-01-29T07:35:39Z,2019-01-29T07:42:03Z
3085,2019-01-30T07:16:32Z,2019-01-30T07:48:38Z
3086,2019-01-30T12:16:48Z,2019-01-30T13:07:30Z
3087,2019-01-30T14:34:03Z,2019-01-30T15:24:00Z
3088,2019-01-31T01:33:08Z,2019-06-13T19:46:54Z
3089,2019-02-01T05:27:08Z,2019-02-01T12:54:01Z
3090,2019-02-05T14:02:42Z,2019-02-05T15:28:16Z
3091,2019-02-07T08:31:27Z,2019-02-07T08:32:16Z
3092,2019-02-07T08:40:11Z,2019-02-07T08:41:55Z
3093,2019-02-07T14:50:19Z,2019-02-07T15:11:18Z
3094,2019-02-09T15:15:08Z,2019-02-09T15:17:16Z
3095,2019-02-10T17:38:34Z,2019-02-28T16:00:26Z
3097,2019-02-13T07:27:59Z,2019-02-13T07:31:28Z
3098,2019-02-13T07:51:50Z,2019-02-13T13:06:47Z
3099,2019-02-17T20:05:34Z,2019-02-17T20:06:10Z
3105,2019-02-26T06:14:13Z,2019-02-26T15:36:36Z
3106,2019-02-26T13:47:56Z,2019-02-27T03:13:08Z
3107,2019-02-28T14:09:47Z,2019-02-28T15:18:03Z
3110,2019-03-02T20:33:58Z,2019-03-02T21:18:33Z
3114,2019-03-06T07:17:29Z,2019-03-06T13:33:15Z
3115,2019-03-07T13:28:17Z,2019-03-07T15:05:37Z
3116,2019-03-08T14:03:41Z,2019-03-08T14:06:06Z
3117,2019-03-09T00:33:48Z,2019-05-16T16:39:34Z
3119,2019-03-11T08:03:33Z,2019-03-11T08:05:25Z
3120,2019-03-11T13:16:24Z,2019-03-11T13:44:02Z
3122,2019-03-14T08:10:59Z,2019-03-14T09:07:28Z
3123,2019-03-18T13:29:15Z,2019-03-18T13:30:31Z
3125,2019-03-20T00:20:13Z,2019-05-19T04:10:13Z
3126,2019-03-20T13:15:54Z,2019-03-20T13:17:29Z
3127,2019-03-20T23:47:32Z,2019-03-21T00:14:53Z
3130,2019-03-26T15:34:56Z,2019-03-26T16:35:57Z
3131,2019-03-27T10:14:35Z,2019-03-27T23:03:48Z
3132,2019-03-28T14:00:27Z,2019-03-28T14:02:15Z
3133,2019-03-29T03:55:22Z,2019-03-29T04:09:34Z
3134,2019-03-29T14:50:07Z,2019-05-19T04:27:32Z
3135,2019-04-02T18:06:20Z,2019-04-02T19:19:42Z
3138,2019-04-03T16:58:21Z,2019-05-17T21:18:41Z
3139,2019-04-05T10:10:09Z,2019-05-17T01:48:28Z
3140,2019-04-05T20:48:03Z,2019-04-05T21:17:49Z
3141,2019-04-07T03:11:46Z,2019-04-07T03:55:18Z
3143,2019-04-08T09:20:39Z,2019-04-08T09:22:35Z
3144,2019-04-08T11:25:05Z,2019-04-08T12:31:31Z
3145,2019-04-08T13:23:44Z,2019-04-08T13:25:41Z
3146,2019-04-08T14:57:38Z,2019-04-08T15:07:23Z
3148,2019-04-10T14:52:48Z,2019-04-10T15:10:12Z
3151,2019-04-12T04:36:45Z,2019-05-18T11:49:15Z
3153,2019-04-14T09:59:07Z,2019-04-14T10:00:58Z
3158,2019-04-22T14:56:47Z,2019-04-22T15:02:07Z
3160,2019-04-23T19:11:59Z,2019-04-23T19:17:59Z
3161,2019-04-24T13:42:01Z,2019-04-24T13:55:28Z
3163,2019-04-25T09:04:53Z,2019-05-17T20:32:41Z
3164,2019-04-26T04:59:43Z,2019-04-26T05:54:26Z
3165,2019-04-27T00:15:19Z,2019-05-17T00:56:46Z
3167,2019-04-30T18:39:35Z,2019-05-10T14:24:19Z
3168,2019-05-02T01:06:37Z,2019-05-17T02:23:33Z
3187,2019-05-07T17:18:50Z,2019-05-08T09:24:31Z
3188,2019-05-07T19:24:54Z,2019-05-07T20:39:27Z
3189,2019-05-07T20:19:42Z,2019-05-10T14:23:26Z
3193,2019-05-10T20:09:04Z,2019-05-10T20:10:28Z
3194,2019-05-10T23:29:27Z,2019-05-13T16:00:21Z
3201,2019-05-16T14:48:01Z,2019-05-16T14:57:22Z
