number,created_at,closed_at
29747,2019-01-02T16:04:07Z,2019-03-30T07:12:56Z
29748,2019-01-02T17:50:42Z,2019-01-04T15:49:26Z
29749,2019-01-02T17:53:21Z,2019-01-02T22:29:14Z
29756,2019-01-03T10:57:09Z,2019-01-03T14:37:06Z
29757,2019-01-03T13:34:34Z,2019-02-21T09:50:08Z
29758,2019-01-03T13:38:33Z,2019-01-04T10:23:08Z
29760,2019-01-03T14:40:33Z,2019-03-12T08:03:29Z
29763,2019-01-03T15:10:25Z,2019-01-25T10:59:22Z
29766,2019-01-03T17:05:53Z,2019-01-15T09:30:24Z
29768,2019-01-03T21:06:33Z,2019-01-04T08:35:30Z
29771,2019-01-04T06:48:52Z,2019-01-04T12:52:21Z
29773,2019-01-04T10:19:28Z,2019-01-05T03:00:52Z
29774,2019-01-04T11:13:30Z,2019-02-13T18:01:14Z
29775,2019-01-04T12:41:43Z,2019-03-04T09:17:25Z
29784,2019-01-05T00:06:46Z,2019-07-18T19:42:25Z
29790,2019-01-05T09:38:57Z,2019-04-18T06:25:36Z
29795,2019-01-05T20:40:14Z,2019-01-07T10:01:46Z
29796,2019-01-05T23:02:44Z,2019-01-07T06:08:30Z
29804,2019-01-06T19:40:53Z,2019-01-09T08:13:20Z
29805,2019-01-06T21:03:01Z,2019-01-07T14:04:43Z
29806,2019-01-07T08:42:02Z,2019-01-07T08:54:23Z
29807,2019-01-07T10:32:16Z,2019-01-09T08:14:37Z
29808,2019-01-07T11:25:22Z,2019-01-08T09:59:58Z
29809,2019-01-07T14:06:56Z,2019-01-10T07:05:36Z
29810,2019-01-07T15:27:56Z,2019-06-29T06:19:31Z
29819,2019-01-08T16:27:44Z,2019-01-16T10:50:21Z
29820,2019-01-08T16:35:11Z,2019-01-15T09:29:43Z
29823,2019-01-08T19:24:10Z,2019-01-10T03:34:01Z
29825,2019-01-09T10:50:49Z,2019-01-09T19:06:34Z
29826,2019-01-09T11:44:20Z,2019-05-05T23:33:35Z
29827,2019-01-09T14:01:05Z,2019-01-10T06:46:04Z
29830,2019-01-10T08:37:05Z,2019-02-08T12:29:12Z
29831,2019-01-10T08:40:02Z,2020-04-03T08:37:07Z
29835,2019-01-10T11:03:38Z,2019-01-25T10:41:49Z
29836,2019-01-10T15:09:34Z,2019-01-13T16:45:30Z
29838,2019-01-10T15:45:40Z,2019-01-11T06:16:39Z
29841,2019-01-10T21:24:19Z,2019-01-11T11:12:52Z
29842,2019-01-11T05:14:21Z,2019-01-11T09:13:31Z
29843,2019-01-11T07:34:54Z,2019-01-25T07:39:04Z
29845,2019-01-11T09:09:55Z,2019-01-11T13:05:02Z
29846,2019-01-11T09:17:16Z,2019-01-11T09:32:24Z
29848,2019-01-11T10:42:31Z,2020-02-20T16:34:30Z
29851,2019-01-11T15:14:46Z,2019-01-11T15:31:09Z
29854,2019-01-11T16:36:10Z,2019-01-15T14:11:02Z
29858,2019-01-12T05:00:20Z,2019-02-28T14:59:00Z
29870,2019-01-13T19:10:21Z,2019-01-14T19:55:55Z
29876,2019-01-14T11:44:19Z,2019-04-09T15:04:00Z
29877,2019-01-14T13:16:45Z,2019-02-23T14:36:05Z
29878,2019-01-14T13:19:00Z,2019-01-29T10:53:00Z
29882,2019-01-14T15:18:59Z,2019-02-07T09:44:00Z
29883,2019-01-14T16:25:13Z,2019-02-21T09:52:50Z
29890,2019-01-15T11:49:52Z,2019-02-02T07:40:13Z
